title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
速必效蚊子蒼蠅跳蚤水性氣霧寶;日用生活;82,0;速必效;規格：550ml毫升x1x1Can罐;速必效蚊子蒼蠅跳蚤水性氣霧寶;0,0;1;550,0;60,0;1397;0.00%;1;11070062001;unique_master_match;1;1;ml;1;can;82,0;0,0;0,0;volume;month;0,0;1,0;43,0;28,0;28,0;13,126;24,0;95,0
速必效蟑螂螞蟻跳蚤水性氣霧寶;日用生活;89,0;速必效;規格：550ml毫升x1x1Can罐;速必效蟑螂螞蟻跳蚤水性氣霧寶;95,0;1;550,0;60,0;1398;6.32%;0;11070063001;unique_master_match;1;1;ml;1;can;89,0;95,0;6,315789;volume;month;6,32;0,0;43,0;28,0;28,0;13,126;24,0;64,0
雷達薄型液體電蚊香無味組裝;日用生活;186,0;雷達;規格：41ml毫升x1x1Box盒;雷達薄型液體電蚊香無味組裝;192,0;1;41,0;36,0;1460;3.13%;0;11073001001;unique_master_match;1;1;ml;1;box;186,0;192,0;3,125;volume;month;3,13;0,0;41,0;18,0;23,0;2,16;12,0;124,0
雷達智慧型液體電蚊香(2器2液超值組)無香精無染料-41mlx2;日用生活;329,0;雷達;規格：41ml毫升x2x1Box盒;雷達液電無味2器2液超值組;0,0;1;41,0;36,0;1462;0.00%;1;11073002001;ambiguous_master_match_resolved_with_order_history;2;2;ml;2;box;164,5;0,0;0,0;volume;month;0,0;1,0;43,0;27,0;23,0;3,792;12,0;202,0
雷達薄型液體電蚊香重裝-無香精無染料-41mlx2;日用生活;188,0;雷達;規格：41ml毫升x2x1Set組;雷達薄型液電重裝無味2入;219,0;1;41,0;36,0;1471;14.16%;1;11073025001;unique_master_match;1;1;ml;2;set;94,0;109,5;14,155251;volume;month;14,16;1,0;25,0;24,0;12,0;1,64;12,0;216,0
速必效無味型電熱蚊液寶45mlx4(補充液四入裝+贈加熱器);日用生活;255,0;速必效;規格：45ml毫升x4x1Box盒;速必效無味型電熱蚊片寶 無味型電熱蚊片;299,0;1;45,0;60,0;1472;14.72%;1;11073032001;unique_master_match;1;1;ml;4;box;63,75;74,75;14,715719;volume;month;14,72;1,0;41,0;26,0;15,0;6,0;24,0;48,0
雷達薄型液體電蚊香重裝-植物清新-41mlx2;日用生活;188,0;雷達;規格：41ml毫升x2x1Set組;雷達薄型液電重裝植物清新2入;219,0;1;41,0;36,0;1474;14.16%;0;11073039001;unique_master_match;1;1;ml;2;set;94,0;109,5;14,155251;volume;month;14,16;0,0;25,0;24,0;12,0;1,64;12,0;48,0
速必效無味型電熱淨蚊寶三入裝;日用生活;179,0;速必效;規格：40ml毫升x3x1BOX盒;速必效無味型電熱淨蚊寶三入裝;0,0;1;40,0;60,0;1476;0.00%;0;11073899001;unique_master_match;1;1;ml;3;box;59,666667;0,0;0,0;volume;month;0,0;0,0;36,0;30,0;24,0;6,1;24,0;48,0
興家安速電蚊香液2入;日用生活;129,0;興家安速;規格：42ml毫升x2x1BOX盒;興家安速電蚊香液2入;0,0;1;42,0;60,0;1477;0.00%;0;11073900001;unique_master_match;1;1;ml;2;box;64,5;0,0;0,0;volume;month;0,0;0,0;29,0;20,0;10,0;1,82;12,0;167,333333
興家安速液體電蚊香組(器x1+42mlx1);日用生活;119,0;興家安速;規格：42ml毫升x1x1SET組;興家安速電蚊香液+器組合 興家安速液+器;0,0;1;42,0;60,0;1478;0.00%;1;11073901001;unique_master_match;1;1;ml;1;set;119,0;0,0;0,0;volume;month;0,0;1,0;42,0;27,0;19,0;4,43;12,0;14,0
