title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
味味A冬菜鴨肉冬粉(碗) 60g;米油沖泡;72,0;味味;規格：60g克x1x3PC碗;味味A冬菜鴨肉冬粉(碗) 60g;0,0;1;60,0;9,0;7306;0.00%;1;14500026001;unique_master_match;1;1;g;3;pc;24,0;0,0;0,0;weight;month;0,0;1,0;43,0;28,0;17,0;1,3;12,0
韓式小雞麵(雞汁味)30g x24;米油沖泡;249,0;;規格：30g克x24x1BOX盒;韓式小雞麵(雞汁味)30g x24;312,0;1;30,0;12,0;7312;20.19%;1;14500037001;unique_master_match;1;1;g;24;box;10,375;13,0;20,192307692307693;weight;month;20,19;1,0;41,0;37,0;38,0;6,83;6,0
韓式小雞麵(香辣味)28gx24;米油沖泡;249,0;;規格：28g克x24x1BOX箱;韓式小雞麵(香辣味)28gx24;312,0;1;28,0;12,0;7313;20.19%;0;14500042001;unique_master_match;1;1;g;24;box;10,375;13,0;20,192307692307693;weight;month;20,19;0,0;40,0;37,0;38,0;6,88;6,0
韓式小雞麵(香辣味)袋裝28g*3;米油沖泡;32,0;;規格：28g克x3x1Bag袋;韓式小雞麵(香辣味)袋裝28g*3;39,0;1;28,0;12,0;7315;17.95%;0;14500048001;unique_master_match;1;1;g;3;bag;10,666666666666666;13,0;17,948717948717956;weight;month;17,95;0,0;52,0;29,0;41,0;6,16;48,0
味王當歸藥膳湯麵(包)85gx4;米油沖泡;70,0;味王;規格：85g克x1x4PacK包;味王當歸藥膳湯麵(包)85g;0,0;1;85,0;6,0;7316;0.00%;0;14500051001;unique_master_match;1;1;g;4;pack;17,5;0,0;0,0;weight;month;0,0;0,0;32,0;30,0;14,0;2,5;24,0
上智雞絲麵冬菜口味280g;米油沖泡;89,0;上智;規格：280g克x1x1Bag袋;上智雞絲麵冬菜口味280g;0,0;1;280,0;8,0;7320;0.00%;0;14500058001;unique_master_match;1;1;g;1;bag;89,0;0,0;0,0;weight;month;0,0;0,0;65,0;28,0;40,0;7,03;20,0
上智雞絲麵當歸口味280g;米油沖泡;89,0;上智;規格：280g克x1x1Bag袋;上智雞絲麵當歸口味280g;0,0;1;280,0;8,0;7321;0.00%;0;14500059001;unique_master_match;1;1;g;1;bag;89,0;0,0;0,0;weight;month;0,0;0,0;65,0;28,0;40,0;7,03;20,0
台酒麵攤三杯雞風味乾麵105g;米油沖泡;108,0;台酒;規格：105g克x1x5Bag包;台酒麵攤三杯雞風味乾麵105g;0,0;1;105,0;6,0;7323;0.00%;0;14500064001;unique_master_match;1;1;g;5;bag;21,6;0,0;0,0;weight;month;0,0;0,0;39,0;33,0;14,0;3,98;30,0
味丹雙響泡日式雞白湯麵(桶)107g;米油沖泡;84,0;味丹;規格：107g克x1x3Can桶;雙響泡日式雞白湯麵107g;0,0;1;107,0;6,0;7324;0.00%;1;14500066001;unique_master_match;1;1;g;3;can;28,0;0,0;0,0;weight;month;0,0;1,0;40,0;27,0;23,0;2,03;12,0
美味小舖蔥燒牛肉湯麵(包)72g;米油沖泡;59,0;味丹;規格：72g克x1x5Pack包;美味小舖蔥燒牛肉湯麵(包)72g;65,0;1;72,0;6,0;7327;9.23%;1;14501002001;unique_master_match;1;1;g;5;pack;11,8;13,0;9,230769230769226;weight;month;9,23;1,0;39,0;31,0;14,0;2,8;30,0
味王原汁牛肉麵(袋)82g;米油沖泡;64,0;味王;規格：82g克x1x5Pack包;味王原汁牛肉麵(袋) 82g;66,0;1;82,0;6,0;7328;3.03%;1;14501004001;unique_master_match;1;1;g;5;pack;12,8;13,2;3,0303030303030196;weight;month;3,03;1,0;36,0;31,0;14,0;3,014;30,0
台酒花雕酸菜牛肉麵(包)200g;米油沖泡;137,0;台酒;規格：200g克x1x3Pack包;台酒花雕酸菜牛肉麵(包)200g;139,0;1;200,0;6,0;7329;1.44%;1;14501005001;unique_master_match;1;1;g;3;pack;45,666666666666664;46,333333333333336;1,4388489208633195;weight;month;1,44;1,0;30,0;30,0;13,0;2,98;12,0
味王小館椒麻牛肉湯麵(包)91g;米油沖泡;72,0;味王;規格：91g克x1x4Bag袋;味王小館椒麻牛肉湯麵(包)91g;75,0;1;91,0;6,0;7330;4.00%;0;14501007001;unique_master_match;1;1;g;4;bag;18,0;18,75;4,0;weight;month;4,0;0,0;32,0;30,0;14,0;2,5;24,0
來一客-牛肉蔬菜-65g;米油沖泡;65,0;統一;規格：65g克x1x3Bowl碗;來一客-牛肉蔬菜 65g;0,0;1;65,0;6,0;7331;0.00%;1;14501010001;unique_master_match;1;1;g;3;bowl;21,666666666666668;0,0;0,0;weight;month;0,0;1,0;45,0;34,0;21,0;3,0;24,0
