title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
蜜妮高防曬乳液SPF48;美妝個清;109,0;Biore;規格：50ml毫升x1x1Bottle瓶;蜜妮高防曬乳液SPF48;0,0;1;50,0;36,0;3632;0.00%;1;12022096001;unique_master_match;1;1;ml;1;bottle;109,0;0,0;0,0;volume;month;0,0;1,0;38,0;25,0;20,0;4,49;48,0;135,0
蜜妮高防曬明亮隔離乳液 SPF50;美妝個清;199,0;Biore;規格：30ml毫升x1x1PC個;蜜妮高防曬明亮隔離乳液 SPF50;215,0;1;30,0;36,0;3633;7.44%;1;12022100001;unique_master_match;1;1;ml;1;pc;199,0;215,0;7,441860465116279;volume;month;7,44;1,0;24,0;16,0;20,0;1,63;24,0;48,0
雪芙蘭蘆薈保濕凝露;美妝個清;58,0;雪芙蘭;規格：130ml毫升x1x1BOTTLE瓶;雪芙蘭蘆薈保濕凝露 蘆薈凝露;79,0;1;130,0;36,0;3635;26.58%;1;12022109001;unique_master_match;1;1;ml;1;bottle;58,0;79,0;26,582278481012654;volume;month;26,58;1,0;21,0;14,0;17,0;2,15;12,0;24,0
Olay 防曬淨白乳液UV SPF18;美妝個清;369,0;Olay;規格：150ml毫升x1x1Bottle瓶;Olay 防曬淨白乳液UV SPF19;453,0;1;150,0;36,0;3641;18.54%;1;12022127001;unique_master_match;1;1;ml;1;bottle;369,0;453,0;18,543046357615893;volume;month;18,54;1,0;23,0;10,0;15,0;1,25;6,0;66,33333333
肌研白潤美白化妝水;美妝個清;396,0;肌研;規格：170ml毫升x1x1Bottle瓶;肌研極潤健康化妝水 肌研健康化水;440,0;1;170,0;48,0;3642;10.00%;1;12022128001;unique_master_match;1;1;ml;1;bottle;396,0;440,0;10,0;volume;month;10,0;1,0;15,0;10,0;16,0;1,2;6,0;12,0
自白肌防曬乳SPF50+(戶外型)35ml;美妝個清;199,0;統一;規格：35ml毫升x1x1PC瓶;自白肌防曬乳SPF50+ 35ml戶外型;0,0;1;35,0;36,0;3648;0.00%;1;12022153001;unique_master_match;1;1;ml;1;pc;199,0;0,0;0,0;volume;month;0,0;1,0;20,0;20,0;28,0;0,992;12,0;24,0
SUNPLAY防曬噴霧-酷涼清爽型;美妝個清;422,0;曼秀雷敦;規格：165ml毫升x1x1PC瓶;曼秀雷敦Sunplay防曬乳液;0,0;1;165,0;48,0;3662;0.00%;1;12022224001;ambiguous_master_match_resolved_with_order_history;2;1;ml;1;pc;422,0;0,0;0,0;volume;month;0,0;1,0;16,0;16,0;18,0;1,2;12,0;24,0
韓國isLeaf極緻水感保濕面膜22ml-玻尿酸;美妝個清;15,0;韓國isLeaf;規格：22ml毫升x1x1PC片;韓國isLeaf極緻水感保濕面膜22ml-玻尿酸;19,0;1;22,0;36,0;3676;21.05%;1;12023020001;unique_master_match;1;1;ml;1;pc;15,0;19,0;21,052631578947366;volume;month;21,05;1,0;27,0;12,0;17,0;2,6;80,0;
Farm stay 牛奶嫩白精華面膜;美妝個清;16,0;Farm stay;規格：23ml毫升x1x1PC片;Farm stay 牛奶嫩白精華面膜 牛奶嫩白面膜;18,0;1;23,0;36,0;3677;11.11%;1;12023022001;unique_master_match;1;1;ml;1;pc;16,0;18,0;11,11111111111111;volume;month;11,11;1,0;20,0;20,0;13,0;0,8;24,0;48,0
肌研極潤多效精華水感凝露 180ml;美妝個清;499,0;肌研;規格：180ml毫升x1x1PC瓶;肌研極潤多效精華水感凝露 180ml 肌研水感凝露;549,0;1;180,0;48,0;3688;9.11%;0;12023079001;unique_master_match;1;1;ml;1;pc;499,0;549,0;9,107468123861565;volume;month;9,11;0,0;16,0;6,0;20,0;1,0;3,0;6,0
韓國isLeaf極緻水感保濕面膜22ml-膠原蛋白;美妝個清;15,0;韓國isLeaf;規格：22ml毫升x1x1PC片;韓國isLeaf極緻水感保濕面膜22ml-膠原蛋白;19,0;1;22,0;36,0;3725;21.05%;0;12023199001;unique_master_match;1;1;ml;1;pc;15,0;19,0;21,052631578947366;volume;month;21,05;0,0;27,0;12,0;17,0;2,6;80,0;
韓國isLeaf極緻水感保濕面膜22ml-珍珠;美妝個清;15,0;韓國isLeaf;規格：22ml毫升x1x1PC片;韓國isLeaf極緻水感保濕面膜22ml-珍珠;19,0;1;22,0;36,0;3728;21.05%;1;12023217001;unique_master_match;1;1;ml;1;pc;15,0;19,0;21,052631578947366;volume;month;21,05;1,0;27,0;12,0;18,0;2,6;80,0;
曼秀雷敦Acnes抗痘筆;美妝個清;185,0;曼秀雷敦;規格：9ml毫升x1x1PC支;曼秀雷敦Acnes抗痘筆 Acnes抗痘筆;218,0;1;9,0;36,0;3730;15.14%;0;12023227001;unique_master_match;1;1;ml;1;pc;185,0;218,0;15,137614678899084;volume;month;15,14;0,0;15,0;14,0;16,0;0,45;12,0;24,0
妮維雅男士水活保濕精華凝露;美妝個清;329,0;妮維雅;規格：150ml毫升x1x1BOTTLE瓶;妮維雅男士水活保濕精華凝露 男水活保濕精華;355,0;1;150,0;36,0;3760;7.32%;0;12023463001;unique_master_match;1;1;ml;1;bottle;329,0;355,0;7,323943661971831;volume;month;7,32;0,0;19,0;7,0;18,0;1,4;6,0;12,0
【安心價】百齡護牙周到漱口水-晶鹽薄荷-750ml;美妝個清;129,0;百齡;規格：750ml毫升x1x1Bottle瓶;百齡護牙周到漱口水-晶鹽薄荷 晶鹽薄荷漱口水;149,0;1;750,0;36,0;4201;13.42%;1;12105002001;unique_master_match;1;1;ml;1;bottle;129,0;149,0;13,422818791946309;volume;month;13,42;1,0;43,0;31,0;26,0;14,7;12,0;24,0
德恩奈深層潔淨漱口水;美妝個清;289,0;德恩奈;規格：1000ml毫升x1x1Bottle瓶;德恩奈深層潔淨漱口水 德恩奈漱口水;322,0;1;1000,0;36,0;4202;10.25%;1;12105005001;unique_master_match;1;1;ml;1;bottle;289,0;322,0;10,248447204968944;volume;month;10,25;1,0;42,0;24,0;29,0;13,86;12,0;13,0
GUM牙周護理潔齒液-500ml;美妝個清;209,0;GUM;規格：500ml毫升x1x1Bottle瓶;GUM牙周護理潔齒液 牙周護理潔齒液;237,0;1;500,0;36,0;4203;11.81%;0;12105006001;unique_master_match;1;1;ml;1;bottle;209,0;237,0;11,814345991561181;volume;month;11,81;0,0;36,0;20,0;21,0;7,09;12,0;24,0
白人清新漱口水促銷組;美妝個清;161,0;白人;規格：720ml毫升x2x1Bottle瓶;白人漱口水促銷包;0,0;1;720,0;36,0;4204;0.00%;0;12105009001;unique_master_match;1;1;ml;2;bottle;80,5;0,0;0,0;volume;month;0,0;0,0;33,0;23,0;24,0;10,14;6,0;231,0
德恩奈兒童漱口水;美妝個清;169,0;德恩奈;規格：500ml毫升x1x1BOTTLE瓶;德恩奈兒童漱口水 兒童漱口水;0,0;1;500,0;36,0;4207;0.00%;1;12105012001;unique_master_match;1;1;ml;1;bottle;169,0;0,0;0,0;volume;month;0,0;1,0;36,0;21,0;25,0;7,24;12,0;14,0
高露潔全效亮白去漬漱口水1+1超值組-500mlx2;美妝個清;199,0;Colgate 高露潔;規格：500ml毫升x2x1SET組;高露潔全效亮白去漬漱口水1+1超值組;226,0;1;500,0;36,0;4208;11.95%;1;12105013001;unique_master_match;1;1;ml;2;set;99,5;113,0;11,946902654867257;volume;month;11,95;1,0;32,0;21,0;24,0;7,2;6,0;33,0
