title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
蕾妮亞零觸感特薄倍護側邊22.5cm-18PC;美妝個清;139,0;蕾妮亞;規格：18PC片x1x2PACK包;蕾妮亞零觸感特薄量多日用22.5cm;0,0;1;18,0;36,0;4500;0.00%;0;12121087001;unique_master_match;1;1;pc;2;pack;69,5;0,0;0,0;count;month;0,0;0,0;42,0;32,0;23,0;3,82;24,0;360,0
蕾妮亞零觸感特薄倍護側邊22.5cm-18PC;美妝個清;139,0;蕾妮亞;規格：18PC片x1x2PACK包;蕾妮亞零觸感特薄倍護側邊22.5cm;0,0;1;18,0;36,0;4502;0.00%;1;12121091001;unique_master_match;1;1;pc;2;pack;69,5;0,0;0,0;count;month;0,0;1,0;42,0;32,0;23,0;3,78;24,0;76,66666667
蘇菲極淨肌原生棉極薄0.1潔翼23cm;美妝個清;138,0;蘇菲;規格：10PC片x1x3PC包;蘇菲極淨肌原生棉極薄0.1潔翼23cm;150,0;1;10,0;36,0;4504;8.00%;0;12121103001;unique_master_match;1;1;pc;3;pc;46,0;50,0;8,0;count;month;8,0;0,0;36,0;22,0;22,0;1,84;24,0;11,0
靠得住草本抑菌衛生棉23cm-14PCx3;美妝個清;139,0;Kotex 靠得住;規格：14PC片x3x1PC包;靠得住草本抑菌衛生棉23cm;0,0;1;14,0;36,0;4508;0.00%;1;12121111001;unique_master_match;1;1;pc;3;pc;46,333333333333336;0,0;0,0;count;month;0,0;1,0;;;;;10,0;0,0
康乃馨御守棉超薄衛生棉量多型25.5cm;美妝個清;189,0;康乃韾;規格：16PC片x1x3PacK包;康乃馨御守棉超薄衛生棉量多型;215,0;1;16,0;36,0;4510;12.09%;1;12122002002;unique_master_match;1;1;pc;3;pack;63,0;71,66666666666667;12,093023255813959;count;month;12,09;1,0;60,0;23,0;22,0;4,51;24,0;244,0
蘇菲極淨肌原生棉超薄潔翼26cm;美妝個清;138,0;蘇菲;規格：17PC片x1x2PC包;蘇菲極淨肌原生棉超薄潔翼26cm;150,0;1;17,0;36,0;4512;8.00%;1;12122005001;unique_master_match;1;1;pc;2;pc;69,0;75,0;8,0;count;month;8,0;1,0;43,0;32,0;33,0;3,86;24,0;5,0
蘇菲彈力貼身草本抑菌超薄28cm-13PC;美妝個清;149,0;蘇菲;規格：13PC片x1x3Pack包;蘇菲彈力貼身草本抑菌超薄28cm13片;150,0;1;13,0;36,0;4513;0.67%;1;12122007001;unique_master_match;1;1;pc;3;pack;49,666666666666664;50,0;0,6666666666666714;count;month;0,67;1,0;56,0;27,0;47,0;6,7;48,0;241,0
蘇菲彈力貼身極薄0.1日潔翼23;美妝個清;139,0;蘇菲;規格：18PC片x1x2PC包;蘇菲彈力貼身極薄0.1日潔翼23;150,0;1;18,0;36,0;4514;7.33%;0;12122008001;unique_master_match;1;1;pc;2;pc;69,5;75,0;7,333333333333333;count;month;7,33;0,0;38,0;21,0;29,0;3,096;24,0;41,0
蕾妮亞零觸感特薄超薄涼量多日用22.5cm-16PC;美妝個清;139,0;蕾妮亞;規格：16PC片x1x2SET組;蕾妮亞零觸感特薄超涼量多日用22.5cm;0,0;1;16,0;36,0;4515;0.00%;1;12122009001;unique_master_match;1;1;pc;2;set;69,5;0,0;0,0;count;month;0,0;1,0;32,0;19,0;21,0;1,576;12,0;84,0
蘇菲超熟睡夜用-細緻棉柔(35cm)8PCx3;美妝個清;138,0;蘇菲;規格：8PC片x1x3Pack包;蘇菲極緻柔感日用超薄衛生棉;149,0;1;8,0;36,0;4518;7.38%;1;12122012001;unique_master_match;1;1;pc;3;pack;46,0;49,666666666666664;7,382550335570465;count;month;7,38;1,0;43,0;37,0;28,0;4,02;24,0;218,0
