title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
輕時代花香清潔袋(小)-薰衣草;日用生活;49,0;輕時代;規格：1PC個x1x1PC個;輕時代花香清潔袋(小);72,0;1;1,0;120,0;9375;31.94%;1;31500032001;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;49,0;72,0;31,944444444444443;count;month;31,94;1,0;50,0;24,0;25,0;14,9;30,0
【垃圾袋】家簡塵除防漏環保清潔袋 特小 3捲入;日用生活;59,0;家簡塵除;規格：1Pack包x1x1Pack包;家簡塵除防漏環保清潔袋-特小;79,0;1;1,0;120,0;9376;25.32%;1;31500033001;unique_master_match;1;1;pack;1;pack;59,0;79,0;25,31645569620253;count;month;25,32;1,0;;;;;
家簡塵除香氛清潔袋 中;日用生活;59,0;家簡塵除;規格：1Pack包x1x1Pack包;家簡塵除香氛清潔袋 中;79,0;1;1,0;120,0;9378;25.32%;1;31501001001;ambiguous_master_match_resolved_with_order_history;2;2;pack;1;pack;59,0;79,0;25,31645569620253;count;month;25,32;1,0;;;;;
妙潔新防漏大師清潔袋-特小;日用生活;105,0;妙潔;規格：168PC張x1x1Set組;妙潔新防漏大師清潔袋--中;142,0;1;168,0;60,0;9379;26.06%;1;31501003001;unique_master_match;1;1;pc;1;set;105,0;142,0;26,056338028169012;count;month;26,06;1,0;56,0;22,0;15,0;8,75;15,0
【垃圾袋】環保生活家清潔袋(中)-53x63cm(20L);日用生活;49,0;;規格：1PC包x1x1PC包;環保生活家清潔袋(中);59,0;1;1,0;999,0;9380;16.95%;1;31501007001;unique_master_match;1;1;pc;1;pc;49,0;59,0;16,94915254237288;count;month;16,95;1,0;30,0;30,0;29,0;23,0;30,0
【垃圾袋】可家芬抗蟑驅蠅清潔袋(中)-53* 63cm(20L);日用生活;69,0;;規格：1Pack包x1x1Pack包;可家芬抗蟑驅蠅清潔袋(中);99,0;1;1,0;120,0;9382;30.30%;1;31501010001;unique_master_match;1;1;pack;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;1,0;46,0;32,0;22,0;11,15;24,0
楓康環保實心垃圾袋(中);日用生活;69,0;楓康;規格：93PC張x1x1Pack包;楓康環保實心垃圾袋 (中);99,0;1;93,0;120,0;9383;30.30%;1;31501012001;unique_master_match;1;1;pc;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;1,0;;;;;
【垃圾袋】可家芬抗蟑驅蠅清潔袋(中)-53* 63cm(20L);日用生活;69,0;;規格：1Pack包x1x1Pack包;可家芬平底清潔袋(中);99,0;1;1,0;120,0;9384;30.30%;0;31501013001;unique_master_match;1;1;pack;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;0,0;50,0;31,0;22,0;14,0;20,0
【垃圾袋】家簡塵除防漏環保清潔袋-中 3捲入;日用生活;59,0;家簡塵除;規格：1Pack包x1x1Pack包;家簡塵除防漏環保清潔袋-中;79,0;1;1,0;120,0;9387;25.32%;1;31501025001;unique_master_match;1;1;pack;1;pack;59,0;79,0;25,31645569620253;count;month;25,32;1,0;;;;;
驅塵氏香氛清潔袋(中)-薰衣草香;日用生活;55,0;驅塵氏;規格：1PC包x1x1PC包;驅塵氏香氛清潔袋(中);65,0;1;1,0;120,0;9389;15.38%;1;31501901003;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;55,0;65,0;15,384615384615385;count;month;15,38;1,0;44,0;28,0;17,0;8,03;20,0
