title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
美源花果香染髮霜-自然亮棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 自然亮棕色;218,0;1;40,0;36,0;2655;22.48%;1;12005084006;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;4,0
美源花果香染髮霜-自然亮棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 棕色;218,0;1;40,0;36,0;2656;22.48%;1;12005084007;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;5,0
美源花果香染髮霜-深棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 深棕色;218,0;1;40,0;36,0;2657;22.48%;1;12005084008;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;4,0
美源花果香染髮霜-暗棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 深栗棕;218,0;1;40,0;36,0;2658;22.48%;1;12005084009;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;3,0
美吾髮快速染髮霜超值組;美妝個清;399,0;美吾髮;規格：40g克x6x1BOX盒;美吾髮快速染髮霜超值組 7號自然黑褐;463,0;1;40,0;36,0;2665;13.82%;1;12005089004;unique_master_match;1;1;g;6;box;66,5;77,166667;13,822894;weight;month;13,82;1,0;42,0;34,0;20,0;5,59;12,0;24,0
美吾髮植優護髮染髮霜_6號自然深棕;美妝個清;329,0;美吾髮;規格：40g克x2x1BOX盒;美吾髮植優護髮染髮霜 6號自然深棕;355,0;1;40,0;36,0;2708;7.32%;1;12005109003;unique_master_match;1;1;g;2;box;164,5;177,5;7,323944;weight;month;7,32;1,0;40,0;21,0;20,0;3,18;12,0;24,0
綠的藥皂80gx6;美妝個清;159,0;綠的;規格：80g克x1x6PC個;綠的藥皂;172,0;1;80,0;30,0;2730;7.56%;0;12010001001;unique_master_match;1;1;g;6;pc;26,5;28,666667;7,55814;weight;month;7,56;0,0;41,0;26,0;31,0;14,21;144,0;588,0
花王香皂禮盒- 優雅花香;美妝個清;133,0;花王;規格：85g克x12x1Pack包;花王香皂禮盒- 優雅花香;0,0;1;85,0;36,0;2744;0.00%;1;12010020001;unique_master_match;1;1;g;12;pack;11,083333;0,0;0,0;weight;month;0,0;1,0;35,0;35,0;19,0;14,598;12,0;212,0
雪芙蘭柔膚香皂;美妝個清;105,0;雪芙蘭;規格：130g克x1x6PC個;雪芙蘭柔膚香皂;113,0;1;130,0;60,0;2745;7.08%;0;12010022001;unique_master_match;1;1;g;6;pc;17,5;18,833333;7,079646;weight;month;7,08;0,0;30,0;28,0;23,0;10,88;72,0;615,333333
棕欖香皂-蘆薈保濕配方;美妝個清;148,0;Palmolive;規格：115g克x1x6PC個;棕欖香皂;0,0;1;115,0;36,0;2747;0.00%;1;12010023002;ambiguous_master_match_resolved_with_order_history;2;2;g;6;pc;24,666667;0,0;0,0;weight;month;0,0;1,0;27,0;22,0;31,0;10,17;72,0;4122,0
