item_code;minimum_inventory;minimum_inventory_ceiling
11010059001;32;32
11010112001;16;16
11010115001;10;10
11010116001;21;21
11020002001;25;25
11020003001;19;19
11020008001;65;65
11020010001;51;51
11020012001;18;18
11020013001;18;18
11021002001;14;14
11021006001;8;8
11021013001;19;19
11021018001;55;55
11021023001;4;4
11021025001;29;29
11021026001;54;54
11021028001;26;26
11021029001;28;28
11021030001;21;21
11021047001;18;18
11021051002;8;8
11021052001;22;22
11021059002;4;4
11021060001;17;17
11021061001;17;17
11021064001;9;9
11021071001;19;19
11021095001;8;8
11022001001;22;22
11022003002;25;25
11022006001;88;88
11022007001;19;19
11022009001;19;19
11022011001;19;19
11022012001;22;22
11022017001;9;9
11022021001;8;8
11022024002;4;4
11022025001;7;7
11022031001;29;29
11022032001;29;29
11022035001;9;9
11022036001;49;49
11022044001;36;36
11022051001;67;67
11022058001;19;19
11022059001;17;17
11022063001;14;14
11022067001;67;67
11022077001;4;4
11022082001;40;40
11022085001;35;35
11022087001;48;48
11023010001;53;53
11023012001;19;19
11023015001;40;40
11030010001;104;104
11030016002;4;4
11030018001;21;21
11030024001;19;19
11030062001;33;33
11030066001;23;23
11030079002;4;4
11030080001;14;14
11030094001;107;107
11030095001;26;26
11030096001;11;11
11030097001;4;4
11030108001;4;4
11030128001;71;71
11030183001;4;4
11030183002;20;20
11031011002;4;4
11031022001;23;23
11031040001;4;4
11031901001;4;4
11031907001;8;8
11031908001;4;4
11031917001;9;9
11031918001;4;4
11032002001;254;254
11032003002;18;18
11032006001;41;41
11032008001;473;473
11032011001;12;12
11032014002;66;66
11032015001;27;27
11032017001;10;10
11032021001;29;29
11032024001;62;62
11032026001;48;48
11032027001;36;36
11032028001;37;37
11032031001;67;67
11032035001;25;25
11032036001;28;28
11032037001;43;43
11032043001;12;12
11032218001;30;30
11032220001;33;33
11032221001;28;28
11032222002;31;31
11040001001;49;49
11040003001;32;32
11040004001;40;40
11040006001;29;29
11040007001;32;32
11040008001;17;17
11040009001;32;32
11040010001;33;33
11040011001;4;4
11040018001;31;31
11040020001;14;14
11040023001;12;12
11040025001;17;17
11040026001;24;24
11040027001;34;34
11040029001;4;4
11040029002;12;12
11040030001;37;37
11040035001;30;30
11040039001;10;10
11040040001;17;17
11040044001;10;10
11040046001;22;22
11040047001;16;16
11040057001;4;4
11040060001;11;11
11040062001;40;40
11041002001;17;17
11041005001;14;14
11041007001;12;12
11041009001;23;23
11041013001;14;14
11041014001;32;32
11041017001;13;13
11041019001;35;35
11041024001;71;71
11041027001;11;11
11041031001;12;12
11041999004;4;4
11042001001;4;4
11042002001;9;9
11042003001;9;9
11042005001;24;24
11042006001;13;13
11042007001;21;21
11042008001;18;18
11042009001;18;18
11042010001;20;20
11042011001;39;39
11042015001;26;26
11042017001;12;12
11042020001;14;14
11042022001;9;9
11042023001;12;12
11042027001;18;18
11042028001;4;4
11042030001;4;4
11050002001;14;14
11050003001;23;23
11050004001;33;33
11050005001;31;31
11050006001;203;203
11050008001;4;4
11050009001;4;4
11050010001;15;15
11050011001;69;69
11050017001;16;16
11050019002;22;22
11050020001;22;22
11050022001;12;12
11050025001;40;40
11050029001;17;17
11050031001;18;18
11050032001;39;39
