scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;21;100;bootstrap_actual;62;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13956;2329;0.1668816279736314;1.3973993013127666;35;11627;0;31;5126;5925;54401;1.1558720249707375;10.612758486149044;225;216;healthy;0;0;0;0;0;0;100000;0;597045;51287060.50515024;5636975.76623995;45650084.738910295;22021.06505158877;2420.341677217669;7704.655652136758;10005.279068503754;8905.595930337553;7956.944789648056
My Scenario Fallback Random;final;;;22;100;bootstrap_actual;63;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14314;8189;0.5720972474500489;4.913397543344889;70;6125;0;73;17735;20532;190246;1.1577107414716663;10.72714970397519;1785;1577;healthy;0;0;0;0;0;0;100000;0;343801;161755843.48158637;20426966.873039126;141328876.60854724;19752.820061251234;2494.439720727699;6883.346805403626;9120.712911282006;7968.924533890457;7662.667750597
My Scenario Fallback Random;final;;;23;100;bootstrap_actual;64;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13676;2330;0.17037145364141562;1.397999301012772;32;11346;0;26;4903;5623;53839;1.1468488680399755;10.980828064450337;197;187;healthy;0;0;0;0;0;0;100000;0;91563;43337342.06720687;5378876.717759939;37958465.34944693;18599.71762541067;2308.53078015448;6750.571820993585;8838.943925597974;7741.88565152905;15033.34987616539
My Scenario Fallback Random;final;;;24;100;bootstrap_actual;65;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14059;7922;0.5634824667472793;4.753197623443425;61;6137;0;37;17957;20979;183405;1.1682909171910676;10.213565740379796;1819;1618;healthy;0;0;0;0;0;0;100000;0;349390;164897485.8409752;20705249.139119096;144192236.7018561;20815.13327959798;2613.6391238473993;6873.17015595863;9182.908383414557;8029.862265515181;8011.478042840958
My Scenario Fallback Random;final;;;25;100;bootstrap_actual;66;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13579;7978;0.5875248545548273;4.786797606643732;53;5601;0;37;17682;20474;185560;1.1579006899671982;10.494287976473249;1771;1574;healthy;0;0;0;0;0;0;100000;0;343798;162261760.6800911;20367475.608479135;141894285.07161197;20338.651376296202;2552.9550775230805;6930.462297138418;9176.663311847704;8024.787075648228;7946.743199586868
My Scenario Fallback Random;final;;;26;100;bootstrap_actual;67;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13990;781;0.05582558970693352;0.46859976570428113;17;13209;0;49;1799;2069;18378;1.150083379655364;10.215675375208448;52;47;healthy;0;0;0;0;0;0;100000;0;1582981;21144075.459518176;1938253.4589600002;19205822.000558175;27073.07997377487;2481.7585902176697;9282.659255948853;11753.238165379753;10675.832129270802;10263.316952705383
My Scenario Fallback Random;final;;;27;100;bootstrap_actual;68;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13569;3117;0.2297147910678753;1.870199064917086;44;10452;0;37;6964;8012;73574;1.1504882251579551;10.564905226881104;376;342;healthy;0;0;0;0;0;0;100000;0;144900;63531370.81119806;7720892.983440068;55810477.827758;20382.217135450133;2477.026943676634;6965.860937064153;9122.8275145316;8014.1409861800685;9680.025260925293
My Scenario Fallback Random;final;;;28;100;bootstrap_actual;69;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14045;8165;0.5813456746173016;4.898997550544757;69;5880;0;53;18012;20833;189261;1.1566178103486564;10.507495003331112;1735;1560;healthy;0;0;0;0;0;0;100000;0;349094;164604373.01471353;20703501.567839097;143900871.44687444;20159.751747056158;2535.6401185351006;6907.352347087526;9138.594993044277;7989.166746995028;8266.544303417206
My Scenario Fallback Random;final;;;29;100;bootstrap_actual;70;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13784;8322;0.6037434706906558;4.993197503445618;49;5462;0;54;18017;20743;185807;1.1513015485374924;10.312871177221513;1822;1624;healthy;0;0;0;0;0;0;100000;0;349529;165133423.30421156;20776087.31015909;144357335.99405247;19842.99727279639;2496.5257522421402;6959.327772937978;9165.422839774188;8012.284841763471;8391.802094221115
My Scenario Fallback Random;final;;;30;100;bootstrap_actual;71;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13615;7306;0.536614028644877;4.383597808240048;66;6309;0;55;16521;19171;170510;1.1604019127171479;10.320803825434295;1678;1491;healthy;0;0;0;0;0;0;100000;0;434988;152003731.18517646;19049929.93175928;132953801.25341718;20805.328659345258;2607.436344341538;6935.152117960314;9200.637442356787;8047.5637826655275;8379.977885723114
