item_code;carton_length_cm;carton_width_cm;carton_height_cm;units_per_carton;cartons_per_slot;max_fit;item_initial_inventory;item_initial_inventory/max_fit
10020033001;40;27;13;24;18;432;84;0.194444444
10020034001;35;20;14;24;26;624;88;0.141025641
10020036001;41;27;24;24;9;216;60;0.277777778
10020037001;33;27;11;30;26;780;336;0.430769231
10020041001;33;27;11;30;26;780;87;0.111538462
10020042001;41;27;23;24;10;240;54;0.225
10020046001;33;22;12;24;29;696;1587;2.280172414
10020093001;41;28;16;24;13;312;78;0.25
10020094001;41;28;16;24;13;312;1394;4.467948718
10021001001;41;28;10;24;22;528;122;0.231060606
10021005001;41;27;13;24;17;408;3454;8.465686275
10021006001;42;28;24;24;9;216;420;1.944444444
10021007001;38;29;32;12;7;84;76;0.904761905
10021008001;35;20;11;24;33;792;132;0.166666667
10021009001;38;28;31;12;7;84;620;7.380952381
10021010001;42;28;24;24;9;216;235;1.087962963
10021015001;43;29;24;24;8;192;36;0.1875
10021016001;43;29;24;24;8;192;173;0.901041667
10021017001;40;28;23;24;9;216;83;0.384259259
10021018001;33;24;22;12;14;168;24;0.142857143
10021021001;38;26;19;24;13;312;6541;20.96474359
10021022001;42;19;24;12;13;156;332;2.128205128
10021023001;43;29;23;24;8;192;879;4.578125
10021025001;35;20;13;24;28;672;101;0.150297619
10021026001;39;28;32;12;7;84;265;3.154761905
10021027001;40;27;10;24;23;552;24;0.043478261
10021034001;38;22;21;12;14;168;48;0.285714286
10021035001;34;20;11;4;34;136;48;0.352941176
10021040001;37;27;29;12;8;96;240;2.5
10022003001;36;24;17;24;17;408;15;0.036764706
10022006001;32;22;14;24;25;600;12;0.02
10022008001;32;22;16;24;22;528;11;0.020833333
10022011001;33;22;14;6;25;150;6;0.04
10022012001;33;22;16;24;21;504;48;0.095238095
10022014001;33;22;14;6;25;150;47;0.313333333
10022015001;41;28;25;24;8;192;12;0.0625
10022016001;33;23;15;24;22;528;204;0.386363636
10022020001;36;24;17;24;17;408;24;0.058823529
10022024001;31;20;16;24;25;600;24;0.04
10022030001;33;22;14;24;25;600;6;0.01
10022908001;24;36;17;24;17;408;6;0.014705882
10022910001;36;24;17;24;17;408;4;0.009803922
10022915001;33;22;14;24;25;600;6;0.01
10022916001;32;22;14;24;25;600;6;0.01
10023002001;56;32;20;4;7;28;4;0.142857143
10023004001;35;24;17;24;17;408;5;0.012254902
10023005001;47;37;22;5;6;30;2;0.066666667
10023008001;48;33;21;4;7;28;20;0.714285714
10023011001;27;20;20;6;23;138;3;0.02173913
10023017001;43;36;20;6;8;48;1;0.020833333
10023020001;60;37;29;12;3;36;6;0.166666667
10023023001;38;30;27;6;8;48;5;0.104166667
10023025001;38;31;20;3;10;30;2;0.066666667
10023027001;56;33;20;4;6;24;54;2.25
10023031001;36;25;25;6;11;66;4;0.060606061
10023032001;47;35;20;6;7;42;3;0.071428571
10023035001;41;28;24;24;9;216;5;0.023148148
10023044001;56;32;20;4;7;28;2;0.071428571
10023049001;37;32;20;3;10;30;5;0.166666667
10023051001;69;29;20;4;6;24;1;0.041666667
10023054001;54;25;13;3;14;42;6;0.142857143
10023055001;42;39;19;4;8;32;2;0.0625
10023058001;42;28;20;4;10;40;2;0.05
10023063001;37;33;21;3;9;27;17;0.62962963
10023066001;48;33;20;4;8;32;2;0.0625
10023068001;42;37;19;4;8;32;3;0.09375
10023073001;31;21;16;6;24;144;2;0.013888889
10023075001;41;31;15;6;13;78;4;0.051282051
10023078001;39;29;20;4;11;44;7;0.159090909
10023083001;35;24;25;6;12;72;3;0.041666667
10023087001;36;25;17;8;16;128;3;0.0234375
10023093001;37;36;22;12;8;96;2;0.020833333
10023100001;47;31;15;6;11;66;8;0.121212121
10023102001;48;36;22;6;6;36;2;0.055555556
10023103001;62;38;25;20;4;80;4;0.05
10023104001;38;32;28;10;7;70;2;0.028571429
10023106001;35;24;22;4;13;52;4;0.076923077
10023110001;53;25;12;6;16;96;3;0.03125
10023114001;60;38;30;12;3;36;78;2.166666667
10023124001;46;37;22;5;6;30;12;0.4
10023892001;57;32;20;4;6;24;112;4.666666667
10023998001;46;30;16;6;11;66;84;1.272727273
10024001001;40;27;13;24;18;432;6;0.013888889
10024003001;38;29;32;12;7;84;210;2.5
10024004001;33;16;10;24;48;1152;134;0.116319444
10024005001;40;27;13;24;18;432;40;0.092592593
10024006001;40;27;13;24;18;432;24;0.055555556
10024007001;33;16;10;24;48;1152;62;0.053819444
10024011001;41;29;21;24;10;240;406;1.691666667
10024014001;39;26;24;24;10;240;168;0.7
10030001001;38;28;32;12;7;84;690;8.214285714
10030005001;38;28;32;12;7;84;209;2.488095238
10030007001;38;25;24;24;11;264;112;0.424242424
10030008001;40;27;19;24;12;288;73;0.253472222
10030013001;35;20;11;24;33;792;73;0.092171717
10030014001;41;27;24;24;9;216;143;0.662037037
10030015001;41;27;24;24;9;216;24;0.111111111
10030017001;35;26;31;12;9;108;36;0.333333333
10030018001;38;21;31;8;10;80;126;1.575
10030019001;41;28;24;24;9;216;204;0.944444444
10030020001;40;22;22;12;13;156;408;2.615384615
10030021001;43;29;24;24;8;192;91;0.473958333
10030022001;40;27;23;24;10;240;1700;7.083333333
10030046001;43;28;24;24;8;192;24;0.125
10030048001;38;25;24;24;11;264;254;0.962121212
10030049001;35;26;31;12;9;108;92;0.851851852
10031001001;35;20;11;24;33;792;110;0.138888889
10031003001;37;25;22;24;12;288;52;0.180555556
10031004001;42;28;24;24;9;216;1553;7.189814815
10031007001;41;27;24;24;9;216;72;0.333333333
10031011001;35;27;31;12;8;96;428;4.458333333
10031012001;43;29;24;24;8;192;84;0.4375
10031013001;40;20;14;24;22;528;51;0.096590909
10031015001;41;27;24;24;9;216;24;0.111111111
10031017001;35;21;13;24;26;624;510;0.817307692
10031019001;41;27;23;24;10;240;397;1.654166667
10031023001;43;27;24;24;9;216;5;0.023148148
10031026001;35;27;30;12;8;96;162;1.6875
10031031001;35;21;12;24;28;672;24;0.035714286
10031033001;37;25;24;24;11;264;1161;4.397727273
10031899001;32;19;32;8;13;104;711;6.836538462
10031901001;35;26;31;12;9;108;210;1.944444444
10031909001;38;26;23;24;11;264;24;0.090909091
10031910001;35;20;11;24;33;792;3270;4.128787879
10031911001;35;21;12;24;28;672;12;0.017857143
10031916001;29;21;20;1;20;20;485;24.25
10032001001;35;27;28;12;9;108;459;4.25
10032004001;37;25;22;24;12;288;876;3.041666667
10032006001;34;20;11;24;34;816;426;0.522058824
10032007001;43;28;24;24;8;192;131;0.682291667
10032008001;34;20;11;24;34;816;394;0.482843137
10032011001;42;25;8;24;30;720;51;0.070833333
10032013001;40;20;14;24;22;528;72;0.136363636
10032014001;40;27;24;24;9;216;201;0.930555556
10032015001;41;27;24;24;9;216;1314;6.083333333
10032019001;35;20;11;24;33;792;51;0.064393939
10032020001;41;28;21;24;10;240;178;0.741666667
10032023001;35;21;13;24;26;624;24;0.038461538
10032046001;41;24;8;24;32;768;437;0.569010417
10032047001;42;25;8;24;30;720;166;0.230555556
10032048001;42;28;24;24;9;216;1209;5.597222222
10032055001;35;20;14;24;26;624;252;0.403846154
10032059001;38;25;24;24;11;264;52;0.196969697
10032064001;34;20;11;24;34;816;556;0.681372549
10033001001;40;27;19;24;12;288;216;0.75
10033004001;37;25;24;24;11;264;374;1.416666667
10033010001;35;26;31;12;9;108;1587;14.69444444
10033012001;41;28;24;24;9;216;57;0.263888889
10033013001;40;27;24;24;9;216;47;0.217592593
10033014001;41;27;24;24;9;216;164;0.759259259
10033015001;40;28;24;24;9;216;87;0.402777778
10033018001;37;25;24;24;11;264;251;0.950757576
10033020001;36;24;32;8;9;72;48;0.666666667
10033022001;35;26;31;12;9;108;13;0.12037037
10033023001;41;26;22;24;10;240;18;0.075
10033026001;36;27;31;12;8;96;180;1.875
10033028001;40;27;24;24;9;216;64;0.296296296
10033029001;41;28;24;24;9;216;419;1.939814815
10033031001;38;29;32;12;7;84;52;0.619047619
10033033001;44;30;20;24;9;216;95;0.439814815
10033034001;35;27;31;12;8;96;199;2.072916667
10033038001;35;27;31;12;8;96;656;6.833333333
10033041001;39;26;24;24;10;240;4;0.016666667
10033044001;35;23;31;8;10;80;705;8.8125
10033053001;38;22;31;8;9;72;212;2.944444444
10033056001;40;27;24;24;9;216;903;4.180555556
10033057001;40;27;23;24;10;240;570;2.375
10033062001;42;28;24;24;9;216;139;0.643518519
10033064001;40;20;14;24;22;528;28;0.053030303
10033065001;35;26;31;12;9;108;657;6.083333333
10033068001;35;20;11;24;33;792;40;0.050505051
10033070001;42;28;24;24;9;216;318;1.472222222
10033075001;34;24;31;8;10;80;60;0.75
10034002001;42;29;24;24;8;192;30;0.15625
10034003001;34;20;11;24;34;816;110;0.134803922
10034007001;42;27;22;24;10;240;250;1.041666667
10034011001;34;20;11;24;34;816;72;0.088235294
10034013001;35;21;14;24;24;576;48;0.083333333
10034015001;35;21;14;24;24;576;930;1.614583333
10034016001;43;29;25;24;8;192;24;0.125
10034020001;27;21;13;18;34;612;24;0.039215686
10034022001;42;28;24;24;9;216;58;0.268518519
10034023001;43;29;24;24;8;192;46;0.239583333
10034025001;35;20;11;24;33;792;1257;1.587121212
10034026001;38;28;29;12;8;96;8;0.083333333
10034031001;37;25;22;24;12;288;41;0.142361111
10034033001;42;28;24;24;9;216;5;0.023148148
10034041001;42;28;24;24;9;216;300;1.388888889
10034042001;34;20;11;24;34;816;5;0.006127451
10034044001;44;28;24;24;8;192;462;2.40625
10034046001;37;21;31;8;10;80;94;1.175
10034049001;32;19;31;8;13;104;71;0.682692308
10034050001;41;27;12;24;19;456;66;0.144736842
10034057001;38;22;31;8;9;72;165;2.291666667
10034999001;34;20;11;24;34;816;32;0.039215686
10035001001;36;27;31;12;8;96;112;1.166666667
10035002001;36;24;31;8;9;72;123;1.708333333
10035003001;36;27;32;12;8;96;349;3.635416667
10035006001;35;20;11;24;33;792;1395;1.761363636
10035011001;35;23;31;8;10;80;12;0.15
10035012001;41;28;25;24;8;192;384;2
10035013001;40;27;24;24;9;216;1112;5.148148148
10035015001;41;27;12;24;19;456;2478;5.434210526
10035021001;41;27;24;24;9;216;48;0.222222222
10035027001;40;27;24;24;9;216;132;0.611111111
10035028001;34;20;11;24;34;816;16;0.019607843
10035034001;34;20;11;24;34;816;48;0.058823529
10035035001;35;20;11;24;33;792;174;0.21969697
10035036001;39;26;24;24;10;240;578;2.408333333
10035041001;41;27;10;24;23;552;128;0.231884058
10035046001;39;26;24;24;10;240;779;3.245833333
10040001001;36;27;32;12;8;96;249;2.59375
10040002001;40;27;23;24;10;240;166;0.691666667
10040003001;35;27;30;12;8;96;313;3.260416667
10040004001;36;18;36;2;10;20;120;6
10040005001;41;27;24;24;9;216;54;0.25
10040008001;37;29;32;12;7;84;60;0.714285714
10040009001;37;28;32;12;7;84;180;2.142857143
10040010001;41;27;24;24;9;216;12;0.055555556
10040011001;36;29;25;20;9;180;64;0.355555556
10040014001;39;25;24;24;10;240;43;0.179166667
10040015001;30;22;25;12;15;180;328;1.822222222
10040016001;38;31;25;20;8;160;54;0.3375
10040017001;34;25;31;12;9;108;326;3.018518519
10040018001;38;22;31;8;9;72;402;5.583333333
10040019001;35;18;35;2;11;22;12;0.545454545
10040020001;41;28;24;24;9;216;91;0.421296296
10040021001;38;25;21;24;12;288;92;0.319444444
10040022001;38;31;24;20;9;180;266;1.477777778
10040023001;37;30;26;20;8;160;12;0.075
10040024001;25;17;31;6;19;114;48;0.421052632
10040025001;34;17;35;2;12;24;580;24.16666667
10040026001;35;18;25;2;16;32;133;4.15625
10040027001;36;30;20;30;11;330;96;0.290909091
10040028001;35;18;34;2;11;22;57;2.590909091
10040031001;32;25;30;12;10;120;24;0.2
10040032001;36;24;19;24;15;360;61;0.169444444
10040033001;38;23;31;8;9;72;105;1.458333333
10040034001;40;28;25;24;9;216;36;0.166666667
10040035001;38;28;31;12;7;84;377;4.488095238
10040037001;36;18;35;2;11;22;28;1.272727273
10040038001;39;22;31;8;9;72;51;0.708333333
10040039001;36;18;35;2;11;22;1520;69.09090909
10040040001;37;19;32;2;11;22;62;2.818181818
10040041001;37;25;18;24;15;360;72;0.2
10040042001;36;19;32;2;11;22;36;1.636363636
10040044001;34;25;25;12;11;132;798;6.045454545
10040048001;38;22;31;8;9;72;1037;14.40277778
10040049001;36;18;37;2;10;20;534;26.7
10040050001;35;26;31;12;9;108;100;0.925925926
10040056001;36;28;31;12;8;96;20;0.208333333
10040062001;37;27;30;12;8;96;38;0.395833333
10040063001;40;27;23;24;10;240;167;0.695833333
10040066001;37;30;25;20;9;180;192;1.066666667
10040071001;40;32;25;20;7;140;61;0.435714286
10040078001;37;30;25;20;9;180;138;0.766666667
10040079001;35;17;32;2;13;26;24;0.923076923
10040081001;36;27;30;12;8;96;94;0.979166667
10040082001;36;28;31;12;8;96;325;3.385416667
10040094001;37;18;36;2;10;20;206;10.3
10040111001;37;27;31;12;8;96;64;0.666666667
10041001001;33;25;30;12;10;120;48;0.4
10041003001;36;27;26;12;10;120;24;0.2
10041004001;43;28;22;24;9;216;60;0.277777778
10041007001;42;29;24;24;8;192;32;0.166666667
10041008001;40;27;25;24;9;216;88;0.407407407
10041009001;35;23;18;24;17;408;48;0.117647059
10041014001;43;29;24;24;8;192;79;0.411458333
10041016001;37;30;24;20;9;180;176;0.977777778
10041032001;42;25;24;24;10;240;12;0.05
10041033001;42;25;24;24;10;240;1828;7.616666667
10041034001;43;29;24;24;8;192;12;0.0625
10041038001;43;29;24;24;8;192;348;1.8125
10041039001;42;28;24;24;9;216;24;0.111111111
10041040001;42;28;24;24;9;216;198;0.916666667
10041058001;41;28;23;24;9;216;1;0.00462963
10041067001;42;28;25;24;8;192;6;0.03125
10041069001;37;27;30;12;8;96;3;0.03125
10041085001;43;29;23;24;8;192;12;0.0625
10041087001;42;28;23;24;9;216;5;0.023148148
10041899001;26;17;31;6;18;108;12;0.111111111
10051001001;25;19;20;12;26;312;7;0.022435897
10051034001;38;30;26;12;8;96;18;0.1875
10052004001;32;25;27;12;11;132;2;0.015151515
10052014001;31;24;27;12;12;144;16;0.111111111
10052015001;31;24;27;12;12;144;1;0.006944444
10052017001;30;23;29;12;12;144;10;0.069444444
10052019001;32;25;27;12;11;132;2;0.015151515
10052020001;32;25;27;12;11;132;42;0.318181818
10052024001;32;24;26;12;12;144;12;0.083333333
10052025001;32;25;27;12;11;132;12;0.090909091
10052033001;31;24;28;12;12;144;36;0.25
10052035001;30;24;29;12;12;144;1;0.006944444
10052046001;26;20;26;12;18;216;3;0.013888889
10053901001;42;26;19;36;12;432;1;0.002314815
10053903001;42;26;19;36;12;432;4;0.009259259
10053904001;42;26;19;36;12;432;1;0.002314815
10100132001;40;28;12;24;18;432;10;0.023148148
10904008001;47;31;17;6;10;60;1;0.016666667
10904021001;48;31;19;6;9;54;4;0.074074074
10904899001;47;31;6;6;29;174;4;0.022988506
11010001001;38;25;29;6;9;54;2;0.037037037
11010005001;36;33;32;6;6;36;3;0.083333333
11010007001;36;27;31;6;8;48;5;0.104166667
11010012001;38;26;29;6;8;48;4;0.083333333
11010013001;40;26;30;6;8;48;6;0.125
11010016001;36;34;32;6;6;36;6;0.166666667
11010018001;38;24;27;6;10;60;4;0.066666667
11010019001;38;26;29;6;8;48;3;0.0625
11010020001;42;33;19;6;9;54;5;0.092592593
11010021001;36;24;31;6;9;54;1;0.018518519
11010022001;43;33;19;6;9;54;6;0.111111111
11010023001;43;33;19;6;9;54;8;0.148148148
11010025001;38;26;28;6;9;54;7;0.12962963
11010027001;40;26;30;6;8;48;4;0.083333333
11010035001;31;31;32;6;8;48;1;0.020833333
11010038001;41;28;28;12;7;84;2;0.023809524
11010040001;32;30;31;6;8;48;3;0.0625
11010042001;37;25;32;4;8;32;3;0.09375
11010043001;36;34;32;6;6;36;4;0.111111111
11010045001;36;34;32;6;6;36;6;0.166666667
11010051001;33;24;28;6;11;66;3;0.045454545
11010052001;40;26;30;6;8;48;18;0.375
11010055001;39;23;32;4;8;32;8;0.25
11010057001;42;33;19;6;9;54;5;0.092592593
11010059001;38;26;29;6;8;48;3;0.0625
11010112001;31;30;31;6;8;48;2;0.041666667
11010115001;32;30;32;6;8;48;3;0.0625
11010116001;27;39;28;12;8;96;7;0.072916667
11020002001;44;34;27;24;6;144;8;0.055555556
11020003001;45;33;25;12;6;72;1;0.013888889
11020008001;33;24;29;12;11;132;2;0.015151515
11020010001;32;24;25;12;13;156;2;0.012820513
11020012001;33;24;24;12;13;156;5;0.032051282
11020013001;34;21;29;12;12;144;8;0.055555556
11021002001;39;33;22;24;9;216;2;0.009259259
11021006001;41;41;30;12;5;60;3;0.05
11021013001;42;21;29;3;9;27;2;0.074074074
11021018001;44;34;28;24;6;144;1;0.006944444
11021023001;33;21;29;12;12;144;2;0.013888889
11021025001;42;26;22;12;10;120;6;0.05
11021026001;37;25;33;4;8;32;1;0.03125
11021028001;34;24;24;12;13;156;9;0.057692308
11021029001;37;32;25;12;8;96;2;0.020833333
11021030001;44;34;28;24;6;144;2;0.013888889
11021047001;47;27;35;240;5;1200;3;0.0025
11021051002;26;18;23;6;23;138;1;0.007246377
11021052001;40;25;27;9;9;81;13;0.160493827
11021059002;36;27;28;12;9;108;3;0.027777778
11021060001;39;20;30;12;10;120;2;0.016666667
11021061001;29;26;26;8;13;104;2;0.019230769
11021064001;32;23;29;12;11;132;3;0.022727273
11021071001;33;33;32;36;7;252;2;0.007936508
11021095001;34;23;23;6;14;84;1;0.011904762
11022001001;34;23;27;12;12;144;6;0.041666667
11022003002;33;22;27;12;13;156;37;0.237179487
11022006001;36;21;23;12;14;168;1;0.005952381
11022007001;37;32;25;12;8;96;3;0.03125
11022009001;32;23;30;12;11;132;2;0.015151515
11022011001;32;24;29;12;11;132;10;0.075757576
11022012001;44;32;30;12;6;72;1;0.013888889
11022017001;37;25;33;4;8;32;12;0.375
11022021001;37;22;26;12;12;144;6;0.041666667
11022024002;35;32;24;12;9;108;2;0.018518519
11022025001;37;31;29;18;7;126;17;0.134920635
11022031001;37;34;18;18;11;198;3;0.015151515
11022032001;36;33;23;18;9;162;6;0.037037037
11022035001;40;23;32;12;8;96;5;0.052083333
11022036001;40;23;32;12;8;96;1;0.010416667
11022044001;33;21;29;12;12;144;5;0.034722222
11022051001;44;32;29;12;6;72;4;0.055555556
11022058001;36;20;28;12;12;144;5;0.034722222
11022059001;36;20;28;12;12;144;6;0.041666667
11022063001;42;25;25;12;9;108;1;0.009259259
11022067001;31;23;25;12;14;168;1;0.005952381
11022077001;39;23;28;12;10;120;1;0.008333333
11022082001;35;23;27;12;11;132;5;0.037878788
11022085001;35;27;30;12;8;96;2;0.020833333
11022087001;36;28;31;12;8;96;1;0.010416667
11023010001;24;17;24;12;26;312;1;0.003205128
11023012001;27;22;26;12;16;192;1;0.005208333
11023015001;23;17;24;12;27;324;1;0.00308642
11030010001;36;13;11;10;49;490;4;0.008163265
11030016002;38;25;24;12;11;132;1;0.007575758
11030018001;39;20;23;12;14;168;4;0.023809524
11030024001;25;24;11;12;38;456;1;0.002192982
11030062001;26;20;9;12;54;648;2;0.00308642
11030066001;38;21;35;24;9;216;2;0.009259259
11030079002;38;24;17;12;16;192;1;0.005208333
11030080001;38;24;17;12;16;192;60;0.3125
11030094001;22;19;19;12;32;384;4;0.010416667
11030095001;34;24;26;24;12;288;6;0.020833333
11030096001;48;25;18;18;11;198;137;0.691919192
11030097001;48;28;18;18;10;180;3;0.016666667
11030108001;27;18;26;12;20;240;16;0.066666667
