item_code;pre_t_order_count;sku_status
12020165001;17;historical
12020166001;1;new
12020189001;1;new
12020196001;3;historical
12020203001;4;historical
12020217001;2;historical
12020221001;1;new
12020222001;2;historical
12020225001;8;historical
12020232001;25;historical
12020237001;2;historical
12020240001;6;historical
12020242001;1;new
12020246001;1;new
12020249001;1;new
12020253001;2;historical
12020260001;2;historical
12020264001;2;historical
12020271001;1;new
12020272001;1;new
12020282001;2;historical
12020283001;1;new
12020312001;1;new
12020323001;2;historical
12020324001;4;historical
12020326001;5;historical
12020344001;22;historical
12020362001;1;new
12020372001;2;historical
12020383001;5;historical
12020416001;2;historical
12020423001;4;historical
12020425001;2;historical
12020437001;3;historical
12020471001;1;new
12020473001;28;historical
12020485001;19;historical
12020498001;3;historical
12020901001;6;historical
12020903001;2;historical
12020920001;3;historical
12020926001;1;new
12020956001;1;new
12020961001;2;historical
12021028001;1;new
12021052001;1;new
12021912001;2;historical
12021969001;1;new
12022005001;1;new
12022008001;1;new
12022027001;1;new
12022043001;4;historical
12022047001;2;historical
12022096001;7;historical
12022100001;1;new
12022153001;1;new
12022184001;2;historical
12022224001;1;new
12022275001;1;new
12023020001;2;historical
12023022001;1;new
12023079001;1;new
12023125001;1;new
12023195001;1;new
12023199001;1;new
12023202001;1;new
12023217001;3;historical
12023227001;1;new
12023263001;1;new
12023278001;1;new
12023463001;2;historical
12031016001;1;new
12032035001;1;new
12032072001;1;new
12032121001;2;historical
12032224001;2;historical
12032227001;2;historical
12032540001;1;new
12032541001;3;historical
12034001001;1;new
12034025001;2;historical
12034038001;3;historical
12034051001;3;historical
12034053001;5;historical
12034063001;1;new
12034071001;2;historical
12034085001;2;historical
12034104001;6;historical
12034154001;1;new
12034171001;1;new
12034172001;1;new
12034201001;4;historical
12034211001;2;historical
12100002001;8;historical
12100003001;21;historical
12100008001;2;historical
12100009001;2;historical
12100011001;27;historical
12100012001;13;historical
12100013001;22;historical
12100017001;1;new
12100018001;6;historical
12100023001;13;historical
12100026001;46;historical
12100027001;14;historical
12100028001;13;historical
12100036001;4;historical
12100039001;96;historical
12100040001;7;historical
12100051001;6;historical
12100059001;4;historical
12100061001;2;historical
12100069001;7;historical
12100091001;2;historical
12100092001;4;historical
12100101001;3;historical
12100103001;6;historical
12101001002;1;new
12101004001;20;historical
12101005001;3;historical
12101016001;2;historical
12101020001;1;new
12101033001;5;historical
12101040001;6;historical
12102002001;4;historical
12102013001;12;historical
12102016001;6;historical
12102020001;9;historical
12102021001;2;historical
12102022001;2;historical
12102024001;3;historical
12102026001;8;historical
12102027001;4;historical
12102033001;2;historical
12102041001;3;historical
12102042001;6;historical
12102046001;1;new
12102047001;2;historical
12102056001;4;historical
12102058001;8;historical
12102059001;8;historical
12102060001;3;historical
12102067001;1;new
12102075001;5;historical
12102080001;20;historical
12102087001;8;historical
12102095001;53;historical
12102100001;1;new
12102107001;1;new
12102109001;7;historical
12102112001;15;historical
12102132001;4;historical
12102140001;62;historical
12102141001;1;new
12102142001;18;historical
12102996001;5;historical
12102997001;3;historical
12103004001;10;historical
12103005001;1;new
12103008001;37;historical
12103011001;10;historical
12103016001;6;historical
12103024001;9;historical
12103025001;4;historical
12103026001;7;historical
12103027001;39;historical
12103029001;6;historical
12103030001;18;historical
12103031001;4;historical
12103039001;1;new
12103040001;6;historical
12103041001;4;historical
12103060001;9;historical
12103066001;1;new
12103072001;2;historical
12103080001;3;historical
12103089001;5;historical
12103099001;4;historical
12103101001;8;historical
12103125001;10;historical
12103144001;6;historical
12103154001;1;new
12103183001;3;historical
12104001001;4;historical
12104002001;2;historical
12104003001;19;historical
12104011001;8;historical
12104015001;1;new
12104021001;11;historical
12104027001;1;new
12105001001;14;historical
12105002001;1;new
