item_code;minimum_inventory;minimum_inventory_ceiling;inventory_basis_source;paired_historical_product;pre_t_order_count;daily_observation_count;lead_time_sample_size;percentile_position;percentile_rank;percentile_weight
14001030001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;34;19;19;18,0;18;0,0
14001031001;9,0;9;full_horizon_lead_time_percentile_n_plus_one;;51;21;21;19,8;19;0,8000000000000007
14001033001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;30;20;20;18,900000000000002;18;0,9000000000000021
14001034001;12,800000000000004;13;full_horizon_lead_time_percentile_n_plus_one;;70;20;20;18,900000000000002;18;0,9000000000000021
14001036001;9,900000000000002;10;full_horizon_lead_time_percentile_n_plus_one;;44;20;20;18,900000000000002;18;0,9000000000000021
14001044001;9,0;9;full_horizon_lead_time_percentile_n_plus_one;;0;2;2;2,7;2;0,0
14001045001;28,400000000000002;29;full_horizon_lead_time_percentile_n_plus_one;;207;21;21;19,8;19;0,8000000000000007
14001047001;40,400000000000006;41;full_horizon_lead_time_percentile_n_plus_one;;229;21;21;19,8;19;0,8000000000000007
14001050001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;6;19;19;18,0;18;0,0
14001052001;24,800000000000004;25;full_horizon_lead_time_percentile_n_plus_one;;156;21;21;19,8;19;0,8000000000000007
14001053001;33,2;34;full_horizon_lead_time_percentile_n_plus_one;;158;21;21;19,8;19;0,8000000000000007
14001058001;2,900000000000002;3;full_horizon_lead_time_percentile_n_plus_one;;18;20;20;18,900000000000002;18;0,9000000000000021
14001060001;17,200000000000003;18;full_horizon_lead_time_percentile_n_plus_one;;41;21;21;19,8;19;0,8000000000000007
14001066001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;51;21;21;19,8;19;0,8000000000000007
14001070001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;2;3;3;3,6;3;0,0
14001074001;39,60000000000001;40;full_horizon_lead_time_percentile_n_plus_one;;124;20;20;18,900000000000002;18;0,9000000000000021
14001075001;6,0;6;full_horizon_lead_time_percentile_n_plus_one;;35;19;19;18,0;18;0,0
14001080001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;6;19;19;18,0;18;0,0
14001084001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;18;19;19;18,0;18;0,0
14001085001;3,900000000000002;4;full_horizon_lead_time_percentile_n_plus_one;;18;20;20;18,900000000000002;18;0,9000000000000021
14001086001;5,800000000000001;6;full_horizon_lead_time_percentile_n_plus_one;;24;21;21;19,8;19;0,8000000000000007
14001089001;4,100000000000001;5;full_horizon_lead_time_percentile_n_plus_one;;12;18;18;17,1;17;0,10000000000000142
14001090001;37,6;38;full_horizon_lead_time_percentile_n_plus_one;;153;21;21;19,8;19;0,8000000000000007
14001092001;10,0;10;full_horizon_lead_time_percentile_n_plus_one;;34;19;19;18,0;18;0,0
14001093001;23,6;24;full_horizon_lead_time_percentile_n_plus_one;;156;21;21;19,8;19;0,8000000000000007
14001096001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;12;19;19;18,0;18;0,0
14001097001;2,900000000000002;3;full_horizon_lead_time_percentile_n_plus_one;;10;20;20;18,900000000000002;18;0,9000000000000021
14001104001;5,800000000000004;6;full_horizon_lead_time_percentile_n_plus_one;;30;20;20;18,900000000000002;18;0,9000000000000021
14001136001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;8;9;9;9,0;9;0,0
14001138001;6,900000000000002;7;full_horizon_lead_time_percentile_n_plus_one;;51;20;20;18,900000000000002;18;0,9000000000000021
14001143001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;0;2;2;2,7;2;0,0
14001149001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;9;16;16;15,3;15;0,3000000000000007
