scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;16;100;bootstrap_actual;57;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13373;8056;0.6024078366858596;4.83359758324416;52;5317;0;25;17940;20783;190956;1.1584726867335562;10.644147157190636;1826;1618;healthy;0;0;0;0;0;0;100000;0;347904;165717134.19099575;20687453.448479097;145029680.74251667;20570.647243172265;2567.9559891359354;6978.284210292868;9237.29844988828;8084.151657888331;7806.174167871475
Scenario 4 (Sij) Fallback Random;final;;;17;100;bootstrap_actual;58;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14379;8041;0.5592183044717991;4.824597587744077;58;6338;0;42;17841;20573;188763;1.1531304299086373;10.580292584496386;1758;1571;healthy;0;0;0;0;0;0;100000;0;346837;164220764.29028153;20534504.04095911;143686260.2493224;20422.92803013077;2553.725163656151;6984.215245677461;9204.683834442101;8053.711128822511;8270.785499334335
Scenario 4 (Sij) Fallback Random;final;;;18;100;bootstrap_actual;59;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14092;8006;0.5681237581606585;4.803597598243885;55;6086;0;37;17853;20818;183573;1.1660785302190109;10.282473533859855;1801;1606;healthy;0;0;0;0;0;0;100000;0;348184;165036797.5789239;20583879.083039112;144452918.4958848;20614.139093045706;2571.056592935188;6938.8470792528005;9244.205320053992;8091.240603589582;8335.042251586914
Scenario 4 (Sij) Fallback Random;final;;;19;100;bootstrap_actual;60;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13573;4414;0.32520445001105136;2.6483986758241955;29;9159;0;39;9870;11416;101426;1.1566362715298886;10.276190476190477;769;695;healthy;0;0;0;0;0;0;100000;0;1123418;92967532.11070225;11168038.867440142;81799493.24326211;21061.96921402407;2530.1402055822705;7165.33753006851;9419.202848095465;8287.689285031622;7336.683289766312
Scenario 4 (Sij) Fallback Random;final;;;20;100;bootstrap_actual;61;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14019;2075;0.14801341037163848;1.2449993775113743;29;11944;0;29;4728;5466;47486;1.1560913705583757;10.04357021996616;186;177;healthy;0;0;0;0;0;0;100000;0;884494;52148560.039998755;5177216.837519931;46971343.202478826;25131.836163854823;2495.0442590457496;8593.366850069306;11029.729280879601;9934.717259407535;8458.244501113892
Scenario 4 (Sij) Fallback Random;final;;;21;100;bootstrap_actual;62;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13956;1201;0.08605617655488679;0.7205996397065834;22;12755;0;22;2602;2996;28482;1.1514219830899308;10.94619523443505;74;72;healthy;0;0;0;0;0;0;100000;0;1459325;23101921.569044303;2815435.786799995;20286485.78224431;19235.571664483185;2344.242953205658;6771.1901809894225;8878.524815159224;7796.497226073909;10258.282551765442
Scenario 4 (Sij) Fallback Random;final;;;22;100;bootstrap_actual;63;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14314;8068;0.5636439849098784;4.840797579644225;66;6246;0;62;17478;20214;187684;1.15653964984552;10.738299576610595;1733;1540;healthy;0;0;0;0;0;0;100000;0;338837;162933857.7451153;20117129.86919916;142816727.87591615;20195.074088388115;2493.4469347049035;7065.238343520142;9322.22552609654;8171.228279889928;7744.088928699493
Scenario 4 (Sij) Fallback Random;final;;;23;100;bootstrap_actual;64;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13676;8493;0.621014916642293;5.095797452146555;55;5183;0;39;17935;20642;195103;1.150933928073599;10.878338444382493;1846;1650;healthy;0;0;0;0;0;0;100000;0;346509;166474553.38626117;20715833.021519095;145758720.36474207;19601.383890999783;2439.165550632179;7061.269274524856;9282.105011779267;8127.054383314306;7968.816016435623
Scenario 4 (Sij) Fallback Random;final;;;24;100;bootstrap_actual;65;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14059;7879;0.5604239277331247;4.7273976363431895;61;6180;0;49;17886;20816;182253;1.1638152745163814;10.18970144246897;1795;1589;healthy;0;0;0;0;0;0;100000;0;346163;166310666.23342875;20601108.659039114;145709557.57438964;21108.093188657032;2614.6857036475585;6999.882665948772;9298.371141307656;8146.57036645363;7674.0706877708435
Scenario 4 (Sij) Fallback Random;final;;;25;100;bootstrap_actual;66;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13579;6328;0.46601369762132705;3.7967981016346877;51;7251;0;36;13776;15892;146308;1.1536004645760742;10.620499419279907;1237;1113;healthy;0;0;0;0;0;0;100000;0;682331;129221482.73878317;15742737.43223964;113478745.30654353;20420.588296267884;2487.7903653981734;7140.620771869087;9380.188932838499;8237.423439789745;7382.782275438309
Scenario 4 (Sij) Fallback Random;final;;;26;100;bootstrap_actual;67;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13990;13;0.0009292351679771265;0.00779999610007126;1;13977;0;46;56;67;353;1.1964285714285714;6.303571428571429;0;0;healthy;0;0;0;0;0;0;100000;0;32383;4633017.689018996;48045.903360000004;4584971.785658997;356385.9760783843;3695.83872;68432.41471132831;82732.45873248207;81874.49617248208;13120.555361270905
