scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;16;100;bootstrap_actual;47;shuffle;43;100000.0499991114;666667;0;4863;3566;0.7332922064569196;2.1395989302195475;6;1297;0;29;8150;9335;82565;1.145398773006135;10.130674846625768;537;491;healthy;0;0;0;0;0;0;100000;0;1240276;76879983.56480733;9129435.435120143;67750548.12968719;21559.16532944681;2560.13332448686;7257.691283308751;9433.12681776777;8312.950690759164;3781.7501742839813
My Scenario Fallback Random;final;;;17;100;bootstrap_actual;48;shuffle;43;100000.0499991114;666667;0;4276;1276;0.2984097287184284;0.7655996172069945;4;3000;0;20;2917;3226;29040;1.1059307507713405;9.955433664724032;101;99;healthy;0;0;0;0;0;0;100000;0;1564343;25974154.817497015;3174180.172799986;22799974.64469703;20355.920703367567;2487.6020163009293;7067.568085770933;8904.406862357564;7816.240879224213;2901.8097450733185
My Scenario Fallback Random;final;;;18;100;bootstrap_actual;49;shuffle;43;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10805;12410;110846;1.148542341508561;10.258769088385007;867;780;healthy;0;0;0;0;0;0;100000;0;208466;99667360.88298245;12261427.76040002;87405933.12258244;20807.382230267733;2559.797027223386;7043.185586025982;9224.188883200597;8089.396864653627;3327.7656037807465
My Scenario Fallback Random;final;;;19;100;bootstrap_actual;50;shuffle;43;100000.0499991114;666667;0;4040;3588;0.8881188118811881;2.152798923619668;8;452;0;40;8204;9413;82926;1.1473671379814725;10.107996099463676;559;518;healthy;0;0;0;0;0;0;100000;0;160981;75940673.08705969;9219423.049200147;66721250.037859544;21165.18201980482;2569.5159000000413;7088.202489945771;9256.54230705262;8132.770604322226;3169.442374229431
My Scenario Fallback Random;final;;;20;100;bootstrap_actual;51;shuffle;43;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11185;12757;115520;1.1405453732677693;10.328118015198926;916;813;healthy;0;0;0;0;0;0;100000;0;218771;104013137.15371552;12698542.103519974;91314595.05019554;20527.558151512832;2506.126327910001;7157.999141663051;9299.341721387173;8164.022802878458;3570.249329328537
My Scenario Fallback Random;final;;;21;100;bootstrap_actual;42;shuffle;44;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9968;11365;101765;1.1401484751203852;10.20916934189406;722;664;healthy;0;0;0;0;0;0;100000;0;195678;89686938.6889422;11252783.767680135;78434154.92126206;20346.40169894333;2552.8093846824263;6901.377467774928;8997.485823529514;7868.594996113769;3152.001581430435
My Scenario Fallback Random;final;;;22;100;bootstrap_actual;43;shuffle;44;100000.0499991114;666667;0;3842;3773;0.9820406038521603;2.263798868120682;7;69;0;34;8576;9851;87246;1.148670708955224;10.173274253731343;585;538;healthy;0;0;0;0;0;0;100000;0;165025;76358137.87884958;9633868.193040172;66724269.68580941;20238.043434627507;2553.370843636409;6773.34988182006;8903.700778783767;7780.34861075203;2612.4288306236267
My Scenario Fallback Random;final;;;23;100;bootstrap_actual;44;shuffle;44;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10081;11616;101856;1.1522666402142645;10.103759547663921;748;690;healthy;0;0;0;0;0;0;100000;0;194411;91118482.82383773;11399899.733040119;79718583.0907976;20536.056530051326;2569.2809855848814;6862.825679304201;9038.635336160869;7907.80508786803;3163.161148786545
My Scenario Fallback Random;final;;;24;100;bootstrap_actual;45;shuffle;44;100000.0499991114;666667;0;3790;3762;0.9926121372031662;2.2571988714206217;5;28;0;47;8243;9375;87842;1.1373286424845324;10.65655707873347;563;521;healthy;0;0;0;0;0;0;100000;0;160541;73084889.93029204;9263432.30904015;63821457.62125189;19427.137142555035;2462.369034832576;6807.622146266868;8866.29745605872;7742.503654161335;2719.5347361564636
My Scenario Fallback Random;final;;;25;100;bootstrap_actual;46;shuffle;44;100000.0499991114;666667;0;3929;3667;0.9333163654874014;2.200198899920101;13;262;0;71;8054;9140;86453;1.1348398311398062;10.73416935684132;547;503;healthy;0;0;0;0;0;0;100000;0;155931;71912717.16019508;9044788.989600139;62867928.170594946;19610.77642765069;2466.536402945225;6878.329121509294;8928.8201092867;7805.80185877762;2731.5549986362457
