scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;11;90;bootstrap_actual;42;shuffle;44;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9905;11365;101765;1.1474003028773347;10.274103987884907;722;649;healthy;0;0;0;0;0;0;100000;0;190949;89983241.97332826;11170229.484960139;78813012.48836812;20413.621137324924;2534.081099128888;6934.712933424384;9084.62816489937;7956.891720178508;3033.1448357105255
Scenario 4 (Sij) Fallback Random;final;;;12;90;bootstrap_actual;43;shuffle;44;100000.0499991114;666667;0;3842;3770;0.9812597605413846;2.2619988690206654;8;72;0;41;8580;9836;87149;1.1463869463869465;10.157226107226107;580;527;healthy;0;0;0;0;0;0;100000;0;175767;77381678.50326844;9624982.654560171;67756695.84870827;20525.644165323192;2553.0457969655627;6888.643335574245;9018.843648399585;7897.050798217747;2642.9751060009003
Scenario 4 (Sij) Fallback Random;final;;;13;90;bootstrap_actual;44;shuffle;44;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10030;11616;101856;1.158125623130608;10.155134596211365;749;684;healthy;0;0;0;0;0;0;100000;0;194277;91696140.52395731;11339571.603360124;80356568.9205972;20666.247582591237;2555.684382096039;6917.748701842045;9142.187489925953;8011.622025981775;3205.5094969272614
Scenario 4 (Sij) Fallback Random;final;;;14;90;bootstrap_actual;45;shuffle;44;100000.0499991114;666667;0;3790;3766;0.9936675461741424;2.2595988702206435;5;24;0;38;8265;9387;88026;1.135753176043557;10.650453720508168;563;526;healthy;0;0;0;0;0;0;100000;0;162598;75131597.90760961;9291516.517920153;65840081.38968946;19949.97289102751;2467.210971301156;7013.964140799985;9090.332475209874;7966.1320495692025;2552.9175696372986
Scenario 4 (Sij) Fallback Random;final;;;15;90;bootstrap_actual;46;shuffle;44;100000.0499991114;666667;0;3929;3764;0.9580045813184016;2.2583988708206326;13;165;0;24;8221;9376;88406;1.1404938571949885;10.753679601021773;568;516;healthy;0;0;0;0;0;0;100000;0;161364;74974084.7633469;9234781.985520149;65739302.77782675;19918.726026393968;2453.448986588775;7011.444408897904;9119.825418239496;7996.509278412206;2638.2162187099457
Scenario 4 (Sij) Fallback Random;final;;;16;90;bootstrap_actual;47;shuffle;44;100000.0499991114;666667;0;4863;134;0.02755500719720337;0.08039995980073453;0;4729;0;27;384;432;3725;1.125;9.700520833333334;8;8;healthy;0;0;0;0;0;0;100000;0;6555;3299677.8358338918;405239.6275199999;2894438.2083138917;24624.461461446954;3024.1763247761187;6700.088445171045;8592.911030817426;7537.599500817426;9396.871808767319
Scenario 4 (Sij) Fallback Random;final;;;17;90;bootstrap_actual;48;shuffle;44;100000.0499991114;666667;0;4276;2825;0.6606641721234799;1.6949991525154855;5;1451;0;41;6172;7080;63508;1.1471160077770577;10.289695398574207;317;308;healthy;0;0;0;0;0;0;100000;0;129425;57284358.70311578;6847058.116080015;50437300.58703577;20277.649098448066;2423.7373862230143;7123.912512293187;9281.328370563153;8171.954080854791;3792.4067618846893
Scenario 4 (Sij) Fallback Random;final;;;18;90;bootstrap_actual;49;shuffle;44;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10728;12410;110846;1.156785980611484;10.332401193139448;872;779;healthy;0;0;0;0;0;0;100000;0;208706;98700523.43382373;12178873.477680031;86521649.9561437;20605.537251320195;2542.562312668065;6971.929891711821;9200.272505017127;8065.030756538377;3366.5681233406067
Scenario 4 (Sij) Fallback Random;final;;;19;90;bootstrap_actual;50;shuffle;44;100000.0499991114;666667;0;4040;3972;0.9831683168316832;2.383198808421773;8;68;0;28;9040;10391;91902;1.1494469026548673;10.166150442477877;674;619;healthy;0;0;0;0;0;0;100000;0;176076;82966926.67562738;10208720.689440202;72758205.98618717;20887.947300006894;2570.171371963797;7002.040803213085;9177.757375622497;8048.47411351628;2959.065726995468
Scenario 4 (Sij) Fallback Random;final;;;20;90;bootstrap_actual;51;shuffle;44;100000.0499991114;666667;0;5074;5066;0.9984233346472211;3.03959848022777;8;8;0;0;11190;12751;115507;1.1394995531724754;10.322341376228776;913;821;healthy;0;0;0;0;0;0;100000;0;218229;102381968.14974128;12712301.150639974;89669666.99910131;20209.626559364642;2509.336981966043;7032.36350083141;9149.4162779036;8013.375066943817;3459.510109901428
Scenario 4 (Sij) Fallback Random;final;;;21;90;bootstrap_actual;42;shuffle;45;100000.0499991114;666667;0;4421;1264;0.2859081655733997;0.7583996208069287;10;3157;0;8;2960;3428;29286;1.1581081081081082;9.893918918918919;86;82;healthy;0;0;0;0;0;0;100000;0;1297490;31003766.45939923;3205070.3411999843;27798696.118199248;24528.29624952471;2535.6569155063166;8109.304585238987;10474.245425472713;9391.45139128353;4698.1581971645355
Scenario 4 (Sij) Fallback Random;final;;;22;90;bootstrap_actual;43;shuffle;45;100000.0499991114;666667;0;3842;3770;0.9812597605413846;2.2619988690206654;8;72;0;42;8602;9836;87178;1.143455010462683;10.134619855847477;580;526;healthy;0;0;0;0;0;0;100000;0;165561;78147766.71183527;9649177.902000174;68498588.80983509;20728.850586693705;2559.4636344828045;6964.069622797386;9084.836864895986;7963.100303398639;2709.3914761543274
Scenario 4 (Sij) Fallback Random;final;;;23;90;bootstrap_actual;44;shuffle;45;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10071;11616;101856;1.153410783437593;10.113792076258564;749;689;healthy;0;0;0;0;0;0;100000;0;196826;92633669.92664093;11388257.46240012;81245412.4642408;20877.545622411748;2566.657079648438;6994.2676019491055;9198.060761259152;8067.263674336293;3572.173098087311
Scenario 4 (Sij) Fallback Random;final;;;24;90;bootstrap_actual;45;shuffle;45;100000.0499991114;666667;0;3790;1359;0.3585751978891821;0.8153995923074495;5;2431;0;20;3010;3376;31862;1.1215946843853821;10.585382059800665;107;105;healthy;0;0;0;0;0;0;100000;0;1076596;29229053.887118913;3281495.8175999834;25947558.06951893;21507.765921353137;2414.6400423840937;7685.888053767456;9710.649131933194;8620.451185886688;3341.7028727531433
Scenario 4 (Sij) Fallback Random;final;;;25;90;bootstrap_actual;46;shuffle;45;100000.0499991114;666667;0;3929;3768;0.9590226520743191;2.2607988696206545;13;161;0;36;8233;9381;88477;1.1394388436778817;10.746629418195068;569;518;healthy;0;0;0;0;0;0;100000;0;160259;75322245.82967687;9249894.785040151;66072351.04463671;19989.980315731653;2454.8553038853906;7043.2097904953325;9148.821308110879;8025.306819462737;2771.1260919570923
Scenario 4 (Sij) Fallback Random;final;;;26;90;bootstrap_actual;47;shuffle;45;100000.0499991114;666667;0;4863;4857;0.9987661937075879;2.914198542926624;6;6;0;0;10944;12685;112181;1.1590826023391814;10.25045687134503;882;800;healthy;0;0;0;0;0;0;100000;0;211856;100349327.75172682;12429711.490560003;87919616.26116681;20660.763383102083;2559.133516689315;6930.990639429784;9169.34646854229;8033.59066713878;3505.6029164791107
Scenario 4 (Sij) Fallback Random;final;;;27;90;bootstrap_actual;48;shuffle;45;100000.0499991114;666667;0;4276;4219;0.9866697848456502;2.531398734323127;6;57;0;33;9187;10437;95128;1.1360618264939588;10.354631544573854;669;609;healthy;0;0;0;0;0;0;100000;0;177696;83977534.85277987;10357042.72512021;73620492.12765965;19904.606506940003;2454.857247006449;7053.798230110151;9140.909421223454;8013.5509010187925;3038.3598680496216
Scenario 4 (Sij) Fallback Random;final;;;28;90;bootstrap_actual;49;shuffle;45;100000.0499991114;666667;0;4804;697;0.14508742714404663;0.41819979090382065;7;4107;0;38;1514;1745;16722;1.1525759577278731;11.044914134742404;41;41;healthy;0;0;0;0;0;0;100000;0;64572;18455239.898212057;1633536.1005600006;16821703.797652055;26478.106023259767;2343.6672891822104;9639.944869714644;12189.72252193663;11110.768690655254;7893.712856531143
Scenario 4 (Sij) Fallback Random;final;;;29;90;bootstrap_actual;50;shuffle;45;100000.0499991114;666667;0;4040;3980;0.9851485148514851;2.387998806021817;8;60;0;29;9077;10399;92041;1.145642833535309;10.140024237082736;674;617;healthy;0;0;0;0;0;0;100000;0;174113;83081291.3862019;10247241.098640203;72834050.2875617;20874.696328191432;2574.6836931256794;7003.94752260426;9152.94605995394;8024.022285728952;2817.2870836257935
Scenario 4 (Sij) Fallback Random;final;;;30;90;bootstrap_actual;51;shuffle;45;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11190;12757;115520;1.1400357462019661;10.323503127792671;917;825;healthy;0;0;0;0;0;0;100000;0;216391;102724676.21991967;12716534.703599975;90008141.51631969;20273.273380682786;2509.6772653641156;7055.588423322073;9180.042557633571;8043.623013075933;3417.30140542984
Scenario 4 (Sij) Fallback Random;final;;;31;90;bootstrap_actual;42;shuffle;46;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9882;11365;101765;1.1500708358631855;10.298016595830804;722;650;healthy;0;0;0;0;0;0;100000;0;194783;91339990.04847872;11146944.943680143;80193045.10479859;20721.413350380837;2528.7987621778907;7056.141232274403;9243.067197781696;8115.062244970511;3130.1388027668
Scenario 4 (Sij) Fallback Random;final;;;32;90;bootstrap_actual;43;shuffle;46;100000.0499991114;666667;0;3842;3749;0.9757938573659553;2.2493988753205505;8;93;0;30;8571;9801;86491;1.143507175358768;10.091121222727804;576;526;healthy;0;0;0;0;0;0;100000;0;165720;78336201.16133583;9614891.04576017;68721310.11557566;20895.22570321041;2564.654853496978;7011.663107394721;9139.680452845156;8017.887074504219;2813.2769725322723
