item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
10032011001;324;historical_empirical_quantile;;61
10032013001;816;historical_empirical_quantile;;374
10032015001;132;historical_empirical_quantile;;30
10032019001;942;historical_empirical_quantile;;131
10032023001;30;historical_empirical_quantile;;2
10032046001;216;historical_empirical_quantile;;57
10032047001;1044;historical_empirical_quantile;;331
10032048001;52;historical_empirical_quantile;;6
10032055001;204;historical_empirical_quantile;;90
10032059001;48;historical_empirical_quantile;;9
10032064001;228;historical_empirical_quantile;;71
10033001001;192;historical_empirical_quantile;;30
10033004001;920;historical_empirical_quantile;;413
10033010001;196;historical_empirical_quantile;;70
10033012001;92;historical_empirical_quantile;;15
10033013001;508;historical_empirical_quantile;;206
10033014001;132;historical_empirical_quantile;;66
10033015001;332;historical_empirical_quantile;;199
10033018001;696;historical_empirical_quantile;;371
10033022001;84;historical_empirical_quantile;;11
10033023001;24;historical_empirical_quantile;;3
10033026001;115;historical_empirical_quantile;;31
10033028001;256;historical_empirical_quantile;;66
10033031001;12;historical_empirical_quantile;;7
10033033001;10;historical_empirical_quantile;;5
10033034001;210;historical_empirical_quantile;;65
10033038001;88;historical_empirical_quantile;;53
10033041001;564;historical_empirical_quantile;;242
10033044001;91;historical_empirical_quantile;;77
10033053001;64;historical_empirical_quantile;;54
10033056001;152;historical_empirical_quantile;;55
10033057001;672;historical_empirical_quantile;;239
10033064001;450;historical_empirical_quantile;;246
10033065001;226;historical_empirical_quantile;;72
10033068001;654;historical_empirical_quantile;;147
10033070001;696;historical_empirical_quantile;;136
10033075001;144;historical_empirical_quantile;;91
10034003001;666;historical_empirical_quantile;;193
10034007001;48;historical_empirical_quantile;;31
10034011001;456;historical_empirical_quantile;;162
10034013001;30;historical_empirical_quantile;;7
10034015001;30;historical_empirical_quantile;;10
10034016001;200;historical_empirical_quantile;;26
10034020001;180;historical_empirical_quantile;;48
10034022001;24;historical_empirical_quantile;;3
10034023001;80;historical_empirical_quantile;;14
10034025001;1074;historical_empirical_quantile;;256
10034026001;48;historical_empirical_quantile;;10
10034031001;48;historical_empirical_quantile;;3
10034033001;60;historical_empirical_quantile;;26
10034041001;24;historical_empirical_quantile;;3
10034042001;1140;historical_empirical_quantile;;455
10034046001;52;historical_empirical_quantile;;24
10034049001;8;historical_empirical_quantile;;8
10034050001;204;historical_empirical_quantile;;44
10034999001;588;historical_empirical_quantile;;162
10035001001;112;historical_empirical_quantile;;66
10035002001;72;historical_empirical_quantile;;71
10035003001;42;historical_empirical_quantile;;26
10035006001;114;historical_empirical_quantile;;48
10035011001;32;historical_empirical_quantile;;8
10035012001;128;historical_empirical_quantile;;62
10035013001;160;historical_empirical_quantile;;42
10035015001;408;historical_empirical_quantile;;176
10035021001;1016;historical_empirical_quantile;;149
10035027001;4;historical_empirical_quantile;;2
10035028001;246;historical_empirical_quantile;;77
10035034001;1008;historical_empirical_quantile;;207
10035035001;1236;historical_empirical_quantile;;425
10035036001;54;historical_empirical_quantile;;20
10035046001;53;random_allocation_historical_average_proxy;;1
10040001001;48;historical_empirical_quantile;;3
10040002001;174;historical_empirical_quantile;;37
10040003001;1200;historical_empirical_quantile;;139
10040004001;106;historical_empirical_quantile;;232
10040005001;792;historical_empirical_quantile;;153
10040008001;165;historical_empirical_quantile;;73
10040009001;180;historical_empirical_quantile;;67
10040010001;318;historical_empirical_quantile;;57
10040011001;100;historical_empirical_quantile;;17
10040014001;54;historical_empirical_quantile;;5
