title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;is_new_product;item_role;log_capacity;log_original_price;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_original_price_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
金車奧利多Btl150ml;飲料零食;128.0;金車;規格：150ml毫升x1x8Bottle瓶;金車奧利多Btl150ml;0.0;1;150.0;18.0;300;0.00%;1;10022008001;unique_master_match;1;1;ml;8;bottle;16.0;0.0;0.0;volume;month;0.0;1.0;32.0;22.0;16.0;7.74;24.0;0;historical;5.017279836814924;0.0;0.0;2.9444389791664403;0.6587581226451357;-1.2727286860902622;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;73;2.0973970635943098;1;1
悅氏 Light鹼性水2200ml;飲料零食;36.0;悅氏;規格：2200ml毫升x1x1Bottle瓶;悅氏天然水2200ml;0.0;1;2200.0;12.0;623;0.00%;1;10040033001;unique_master_match;1;1;ml;1;bottle;36.0;0.0;0.0;volume;month;0.0;1.0;38.0;23.0;31.0;19.0;8.0;0;historical;7.696667081526462;0.0;0.0;2.5649493574615367;0.6587581226451357;1.558511278640712;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;9;2.0977536739606273;1;1
椰活100純椰子水500ml;飲料零食;99.0;;規格：500ml毫升x1x3Can罐;椰活100純椰子水 500ml;100.0;1;500.0;24.0;146;1.00%;1;10014029001;unique_master_match;1;1;ml;3;can;33.0;33.333333333333336;1.0000000000000069;volume;month;1.0;1.0;41.0;28.0;18.0;12.92;24.0;0;historical;6.2166061010848646;4.61512051684126;0.6931471805599487;3.2188758248682006;0.6587581226451357;-0.005431300520254936;0.5123806373804278;-0.8314287541214034;1.6720608903962488;135;2.129946851734006;1;1
【安心價】健酪乳酸飲料原味 1450ml;飲料零食;42.0;;規格：1450ml毫升x1x1Bottle瓶;健酪乳酸飲料原味Pet1450ml;0.0;1;1450.0;11.0;374;0.00%;1;10024003001;unique_master_match;1;1;ml;1;bottle;42.0;0.0;0.0;volume;month;0.0;1.0;38.0;29.0;32.0;19.87;12.0;0;historical;7.280008252884188;0.0;0.0;2.4849066497880004;0.6587581226451357;1.1182385522409106;-1.4372472001711705;-1.3634021813521084;-0.4594400859524239;146;2.1786694558235657;1;1
寶礦力水得Can340ml;飲料零食;360.0;金車;規格：340ml毫升x1x24Can罐;寶礦力水得Can340ml;0.0;1;340.0;12.0;272;0.00%;1;10021005001;unique_master_match;1;1;ml;24;can;15.0;0.0;0.0;volume;month;0.0;1.0;41.0;27.0;13.0;9.07;24.0;0;historical;5.831882477283517;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.4119589128437091;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;1;2.184329099757073;1;1
Arizona綠茶;飲料零食;65.0;Arizona;規格：650ml毫升x1x1Bottle瓶;Arizona綠茶;0.0;1;650.0;24.0;496;0.00%;0;10033033001;unique_master_match;1;1;ml;1;bottle;65.0;0.0;0.0;volume;month;0.0;0.0;44.0;30.0;20.0;17.76;24.0;0;historical;6.478509642208569;0.0;0.0;3.2188758248682006;-1.5180078478344428;0.27131547208514534;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;19;2.212498630183314;1;1
百家珍蔓越莓醋600ml;飲料零食;219.0;百家珍;規格：600ml毫升x1x1Bottle瓶;百家珍蔓越莓醋600ml;0.0;1;600.0;24.0;706;0.00%;0;10052020001;unique_master_match;1;1;ml;1;bottle;219.0;0.0;0.0;volume;month;0.0;0.0;32.0;25.0;27.0;12.34;12.0;0;historical;6.398594934535208;0.0;0.0;3.2188758248682006;-1.5180078478344428;0.18687164464616965;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;19;2.229162532985116;1;1
百家珍紅葡萄醋600ml;飲料零食;219.0;百家珍;規格：600ml毫升x1x1Bottle瓶;百家珍紅葡萄醋600ml;0.0;1;600.0;24.0;709;0.00%;0;10052025001;unique_master_match;1;1;ml;1;bottle;219.0;0.0;0.0;volume;month;0.0;0.0;32.0;25.0;27.0;12.4;12.0;0;historical;6.398594934535208;0.0;0.0;3.2188758248682006;-1.5180078478344428;0.18687164464616965;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;19;2.229162532985116;1;1
富維克礦泉水1500ml;飲料零食;540.0;富維克;規格：1500ml毫升x1x6Bottle瓶;富維克礦泉水1500ml;0.0;1;1500.0;24.0;615;0.00%;0;10040024001;unique_master_match;1;1;ml;6;bottle;90.0;0.0;0.0;volume;month;0.0;0.0;25.0;17.0;31.0;9.4;6.0;0;historical;7.313886831633462;0.0;0.0;3.2188758248682006;-1.5180078478344428;1.154037179816133;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;85;2.2305108145762844;1;1
黑松蜜桃C/TP300ml;飲料零食;48.0;黑松;規格：300ml毫升x1x6Bottle瓶;黑松蜜桃C/TP300ml;0.0;1;300.0;12.0;150;0.00%;1;10014033001;unique_master_match;1;1;ml;6;bottle;8.0;0.0;0.0;volume;month;0.0;1.0;35.0;20.0;13.0;7.93;24.0;0;historical;5.707110264748875;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.5438025182476066;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;1;2.252393222228119;1;1
金車麥根沙士Pet 2000ml;飲料零食;45.0;金車;規格：2000ml毫升x1x1Bottle瓶;金車麥根沙士Pet 2000ml;0.0;1;2000.0;11.0;65;0.00%;1;10002069001;unique_master_match;1;1;ml;1;bottle;45.0;0.0;0.0;volume;month;0.0;1.0;34.0;23.0;30.0;13.28;6.0;0;historical;7.601402334583733;0.0;0.0;2.4849066497880004;0.6587581226451357;1.4578474573485145;-1.4372472001711705;-1.3634021813521084;-0.4594400859524239;9;2.2733651548658864;1;1
七星藍莓汽泡香檳飲料750ml;飲料零食;65.0;七星;規格：750ml毫升x1x1Bottle瓶;七星藍莓汽泡香檳飲料750ml;69.0;1;750.0;24.0;58;5.80%;1;10002037001;unique_master_match;1;1;ml;1;bottle;65.0;69.0;5.797101449275362;volume;month;5.8;1.0;35.0;27.0;32.0;17.1;12.0;0;historical;6.621405651764134;4.248495242049359;1.91649626384902;3.2188758248682006;0.6587581226451357;0.42231003020765095;0.35750215932639984;0.10746160392794787;1.6720608903962488;31;2.333368405292308;1;1
七星紅葡萄氣泡香檳飲料750ml;飲料零食;65.0;七星;規格：750ml毫升x1x1Bottle瓶;七星紅葡萄氣泡香檳飲料750ml;69.0;1;750.0;24.0;59;5.80%;1;10002038001;unique_master_match;1;1;ml;1;bottle;65.0;69.0;5.797101449275362;volume;month;5.8;1.0;35.0;27.0;32.0;17.1;12.0;0;historical;6.621405651764134;4.248495242049359;1.91649626384902;3.2188758248682006;0.6587581226451357;0.42231003020765095;0.35750215932639984;0.10746160392794787;1.6720608903962488;31;2.333368405292308;1;1
好聖地100椰子水 350ml;飲料零食;89.0;好聖地;規格：350ml毫升x1x3Can罐;好聖地100椰子水 350ml;91.0;1;350.0;24.0;152;2.20%;1;10014037001;unique_master_match;1;1;ml;3;can;29.666666666666668;30.33333333333333;2.19780219780219;volume;month;2.2;1.0;40.0;27.0;13.0;10.08;24.0;0;historical;5.860786223465865;4.5217885770490405;1.16246376065464;3.2188758248682006;0.6587581226451357;-0.3814170635893974;0.47295316256420317;-0.4712398121892162;1.6720608903962488;74;2.3547235227399095;1;1
紅牌速纖纖維飲料TP250ml;飲料零食;159.0;紅牌;規格：250ml毫升x1x24Bottle瓶;紅牌速纖纖維飲料TP250ml;0.0;1;250.0;12.0;92;0.00%;1;10010004001;unique_master_match;1;1;ml;24;bottle;6.625;0.0;0.0;volume;month;0.0;1.0;35.0;20.0;11.0;6.73;24.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
Red Bull 紅牛能量飲料-無糖250mlx4;飲料零食;199.0;紅牛;規格：250ml毫升x4x1Bottle瓶;紅牛能量飲料4入;0.0;1;250.0;12.0;303;0.00%;1;10022011001;unique_master_match;1;1;ml;4;bottle;49.75;0.0;0.0;volume;month;0.0;1.0;33.0;22.0;14.0;6.75;6.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
