item_code;item_role;cluster;distance_to_new_product
10033056001;historical;112;2.848904207975233
10031909001;historical;205;2.8519655673013795
10034031001;historical;205;2.8519655673013795
10024011001;historical;205;2.8553569659668767
10012899001;historical;98;2.8554459826288325
10014898001;historical;98;2.8554459826288325
10001022001;historical;98;2.866916185646259
10016002001;historical;134;2.869772188499402
10032048001;historical;144;2.8740619126514653
10030001001;historical;100;2.8749199065788438
10010026001;historical;157;2.8753106727065716
10002906001;historical;98;2.8818124967180707
10041034001;historical;22;2.883963248054949
10002012001;historical;80;2.8855760212537884
10002943001;historical;80;2.8855760212537884
10033022001;historical;209;2.8893260279901023
10001007001;historical;22;2.890971634109543
10002003001;historical;22;2.890971634109543
10002009001;historical;22;2.890971634109543
10032004001;historical;63;2.8916411668254076
10035012001;historical;144;2.894492054888355
10031019001;historical;144;2.8962671393642165
10041085001;historical;63;2.900162666320849
10040003001;historical;79;2.9189788212822427
10030048001;historical;63;2.9225651871118705
10031033001;historical;63;2.9225651871118705
10033018001;historical;63;2.9225651871118705
10001015001;historical;63;2.923097368719089
10035001001;historical;183;2.923343365940077
10032007001;historical;133;2.9261081009637615
10030005001;historical;183;2.9287188431449263
10033013001;historical;82;2.9309120112859928
10021001001;historical;142;2.9379593608266346
10033070001;historical;63;2.9389232724263348
10033004001;historical;63;2.9433748975927108
10041038001;historical;75;2.947345099408568
10034023001;historical;112;2.968258400034887
10021034001;historical;176;2.971354991779742
10021022001;historical;185;2.990060732815909
10051001001;historical;35;2.9967764134108457
10002073001;historical;187;3.009735280281751
10022915001;historical;1;3.0202123962708245
10021021001;historical;177;3.026945573627516
10033065001;historical;119;3.0364778883269707
10041003001;historical;59;3.042356419338573
10033038001;historical;185;3.043089268661923
10052020001;historical;113;3.0542012620647614
10052025001;historical;113;3.0542012620647614
10031901001;historical;185;3.059093922934183
10033033001;historical;113;3.0723716465430444
10040041001;historical;187;3.0754482690881213
10014032001;historical;187;3.075990947262244
10032023001;historical;187;3.075990947262244
10033053001;historical;195;3.078392469476765
10030018001;historical;32;3.082343457541207
10033044001;historical;32;3.082343457541207
10033075001;historical;32;3.082343457541207
10034046001;historical;32;3.082343457541207
10035002001;historical;32;3.082343457541207
10035011001;historical;32;3.082343457541207
10022014001;historical;1;3.0855430568394087
10035006001;historical;1;3.0855430568394087
10021007001;historical;159;3.108686155352292
10034057001;historical;24;3.110034532682487
10023035001;historical;109;3.117995196431412
10001001001;historical;172;3.1257653556609006
10000004001;historical;24;3.131229295371993
10053901001;historical;116;3.1313570567503426
10053903001;historical;116;3.1313570567503426
10040010001;historical;109;3.141345640459243
10040063001;historical;109;3.141345640459243
10010042001;historical;103;3.157778256696195
14222005001;historical;109;3.1698598920644927
10002025001;historical;141;3.174910893603105
10040016001;historical;109;3.1771600894554557
10034026001;historical;159;3.1809548263322984
10021009001;historical;0;3.1890089739105156
10051034001;historical;15;3.1894919095190435
10001010001;historical;14;3.191791000597676
10012004001;historical;14;3.191791000597676
10014092001;historical;14;3.191791000597676
10002078001;historical;172;3.1936892310743725
10031011001;historical;78;3.201404299412791
10021023001;historical;78;3.2031907079295525
10041899001;historical;158;3.2050393436042413
10033010001;historical;190;3.219643260721494
10030049001;historical;14;3.2226896234688764
10040019001;historical;74;3.225428542634078
10040011001;historical;37;3.2326232500764673
10031899001;historical;184;3.2661995867231766
10040017001;historical;88;3.287786143604014
10034016001;historical;203;3.3227606629383026
10023058001;historical;69;3.3473203733926344
10023078001;historical;6;3.367351370785962
10040024001;historical;164;3.376605355063355
10040111001;historical;99;3.3815025122731885
10000002001;historical;51;3.4133005952006004
10000010001;historical;51;3.4133005952006004
10023106001;historical;83;3.4166347772686074
10030008001;historical;28;3.4182035235375703
10001004001;historical;96;3.419153780611046
10002040001;historical;96;3.419153780611046
10041032001;historical;28;3.430788095420592
10023008001;historical;6;3.434600366839987
10023031001;historical;6;3.434600366839987
10023044001;historical;6;3.434600366839987
10023093001;historical;6;3.434600366839987
10001008001;historical;121;3.439253122815931
10040009001;historical;99;3.455628858467997
10040035001;historical;99;3.455628858467997
10040050001;historical;99;3.455628858467997
10040062001;historical;99;3.455628858467997
10040082001;historical;99;3.455628858467997
10020036001;historical;203;3.4603548869263014
10020042001;historical;203;3.4603548869263014
10033014001;historical;203;3.4603548869263014
10023124001;historical;6;3.4608897243010155
10052017001;historical;52;3.4674940844584685
10002017001;historical;121;3.48269376244021
10002045001;historical;121;3.48269376244021
10052019001;historical;52;3.496750522063242
10023017001;historical;6;3.507788209186625
10023020001;historical;163;3.541849501058482
10023114001;historical;163;3.544767363472449
10020002001;historical;42;3.596328891849167
10020027001;historical;42;3.596328891849167
10002019001;historical;162;3.606326949580839
10002944001;historical;162;3.606326949580839
10034050001;historical;162;3.6090565635386924
10002001001;historical;5;3.61493955233636
10022030001;historical;5;3.618065346033635
10020046001;historical;5;3.631586253749743
10023073001;historical;182;3.6381278790960327
10040038001;historical;8;3.650645784442432
10040014001;historical;108;3.662685414319418
10002916001;historical;77;3.673585901376844
10022008001;historical;173;3.6876052017079277
10016011001;historical;200;3.6878654572553264
10015007001;historical;13;3.6973601560646765
10010018001;historical;13;3.698962401260312
10022916001;historical;23;3.714933109953146
10040002001;historical;25;3.715298299496434
10020016001;historical;170;3.7342275641494425
10020037001;historical;197;3.7532573989605558
10021005001;historical;196;3.760353535832947
10014033001;historical;196;3.7604209073556483
10014069001;historical;196;3.7604209073556483
10010004001;historical;23;3.7682384542977214
10022011001;historical;23;3.7682384542977214
10030013001;historical;23;3.7682384542977214
10031031001;historical;23;3.7682384542977214
10032046001;historical;23;3.7682384542977214
10035035001;historical;23;3.7682384542977214
10023049001;historical;57;3.7794375180659108
10023063001;historical;57;3.7794375180659108
10053904001;historical;152;3.805843153586123
10040020001;historical;85;3.8140657474236708
10010043001;historical;125;3.827611345382582
10014018001;historical;86;3.849483928414694
10040066001;historical;85;3.8496881279106145
10040026001;historical;38;3.850599529169472
10040044001;historical;86;3.8661369443472777
10041009001;historical;132;3.86669397378294
10002918001;historical;167;3.8806852682575586
10040004001;historical;38;3.890201801630575
10023998001;historical;36;3.9202736222877372
10041001001;historical;44;3.9550497538673284
10040031001;historical;44;4.019232808812815
10034020001;historical;111;4.030728086973856
10002013001;historical;111;4.03157910977597
