title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity;is_new_product;item_role;log_capacity;log_price_per_piece;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_price_per_piece_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
金車麥根沙士PET-585ml;飲料零食;79.0;金車;規格：585ml毫升x1x4BOTTLE瓶;金車麥根沙士PET585ml;95.0;1;585.0;11.0;47;16.84%;0;10002011001;unique_master_match;1;1;ml;4;bottle;19.75;23.75;16.842105;volume;month;16.84;0.0;42.0;28.0;24.0;15.72;24.0;599.0;0;historical;6.373319789577012;3.0325462466767075;2.881561113464747;2.4849066497880004;-1.4935759876113537;0.21512447733926868;-0.2767978440504403;0.8694386559098487;-0.5226649371276071;53;1.4364960280650803;1;1
波蜜果菜汁 Pet 580ml;飲料零食;85.0;波蜜;規格：580ml毫升x1x4Bottle瓶;波蜜果菜汁 Pet 580ml;89.0;1;580.0;12.0;96;4.49%;0;10010012001;unique_master_match;1;1;ml;4;bottle;21.25;22.25;4.494382;volume;month;4.49;0.0;42.0;28.0;24.0;15.8;24.0;656.0;0;historical;6.364750756851911;3.1023420086122493;1.7037261156527526;2.5649493574615367;-1.4935759876113537;0.20636869004098318;-0.17905835101043024;-0.03247963700144823;-0.298269996961929;108;1.4437939217162699;1;1
台鹽海洋鹼性離子水Pet850ml**隨機出貨不挑款，以實際出貨為準。**;飲料零食;440.0;台鹽;規格：850ml毫升x1x20Bottle瓶;台鹽海洋鹼性離子水Pet850ml;490.0;1;850.0;12.0;614;10.20%;0;10040023001;unique_master_match;1;1;ml;20;bottle;22.0;24.5;10.204082;volume;month;10.2;0.0;37.0;30.0;26.0;18.48;20.0;28948.0;0;historical;6.7464121285733745;3.1354942159291497;2.4162781761857888;2.5649493574615367;-1.4935759876113537;0.5963480375320948;-0.1326331835439065;0.513151745357055;-0.298269996961929;30;1.4847442632693149;1;1
味丹 多喝水竹炭離子水-微鹼性-850ml;飲料零食;436.0;味丹;規格：850ml毫升x1x20Bottle瓶;味丹多喝水微鹼性竹炭離子水Pet850ml;475.0;1;850.0;12.0;646;8.21%;0;10040078001;unique_master_match;1;1;ml;20;bottle;21.8;23.75;8.210526;volume;month;8.21;0.0;37.0;30.0;25.0;18.4;20.0;486.0;0;historical;6.7464121285733745;3.126760535960395;2.2203469604713586;2.5649493574615367;-1.4935759876113537;0.5963480375320948;-0.14486351714651263;0.3631188902173566;-0.298269996961929;30;1.5112048350361469;1;1
御茶園特上紅茶Pet 550ml;飲料零食;78.0;御茶園特上;規格：550ml毫升x1x4Bottle瓶;御茶園特上紅茶Pet 550ml;100.0;1;550.0;10.0;410;22.00%;0;10031004001;unique_master_match;1;1;ml;4;bottle;19.5;25.0;22.0;volume;month;22.0;0.0;42.0;28.0;24.0;14.85;24.0;4812.0;0;historical;6.311734809152915;3.0204248861443626;3.1354942159291497;2.3978952727983707;-1.4935759876113537;0.15219730613324509;-0.2937721645612001;1.063886019686452;-0.76659612462511;23;1.6653553948870805;1;1
光泉午后時光伯爵奶茶250ml;飲料零食;165.0;光泉;規格：250ml毫升x1x24Bottle瓶;午后時光伯爵奶茶250ml;192.0;1;250.0;12.0;466;14.06%;0;10032064001;unique_master_match;1;1;ml;24;bottle;6.875;8.0;14.0625;volume;month;14.06;0.0;34.0;20.0;11.0;6.1;24.0;2081.0;0;historical;5.5254529391317835;2.063693184711697;2.7122082112508736;2.5649493574615367;-1.4935759876113537;-0.6512208895093387;-1.63354508028199;0.7397579444790858;-0.298269996961929;155;1.7026522121619054;1;1
黑松FIN健康補給飲料-300ml;飲料零食;168.0;黑松;規格：300ml毫升x1x24Bottle瓶;黑松FIN健康補給飲料TP300ml;179.0;1;300.0;12.0;287;6.15%;0;10021025001;unique_master_match;1;1;ml;24;bottle;7.0;7.458333;6.145251;volume;month;6.15;0.0;35.0;20.0;13.0;7.77;24.0;103640.0;0;historical;5.707110264748875;2.0794415416798357;1.9664479402259674;2.5649493574615367;-1.4935759876113537;-0.4656045013702875;-1.6114916434601305;0.1686976246436821;-0.298269996961929;32;1.756159940594045;1;1
鮮採蕃茄綜合蔬菜汁升級配方 530ml;飲料零食;108.0;愛之味;規格：530ml毫升x1x4Bottle瓶;鮮採蕃茄綜合蔬菜汁升級配方 530ml;115.0;1;530.0;10.0;222;6.09%;0;10016020001;unique_master_match;1;1;ml;4;bottle;27.0;28.75;6.086957;volume;month;6.09;0.0;41.0;28.0;25.0;14.5;24.0;2344.0;0;historical;6.274762021241939;3.332204510175204;1.958256052362273;2.3978952727983707;-1.4935759876113537;0.11441872864866696;0.14283288921157936;0.1624247481104927;-0.76659612462511;161;1.7727308973110816;1;1
悅氏礦泉水 330ml;飲料零食;148.0;悅氏;規格：330ml毫升x1x24Bottle瓶;悅氏礦泉水 330ml;174.0;1;330.0;12.0;622;14.94%;0;10040032001;unique_master_match;1;1;ml;24;bottle;6.166667;7.25;14.942529;volume;month;14.94;0.0;36.0;24.0;19.0;9.2;24.0;18917.0;0;historical;5.802118375377063;1.9694406929771342;2.7689903182428;2.5649493574615367;-1.4935759876113537;-0.368525772071521;-1.76553290453415;0.7832384159383314;-0.298269996961929;155;1.7895788774464756;1;1
波蜜BCE果菜汁TP250ml;飲料零食;159.0;波蜜;規格：250ml毫升x1x24Bottle瓶;波蜜果菜汁TP250ml;171.0;1;250.0;12.0;91;7.02%;0;10010002001;unique_master_match;1;1;ml;24;bottle;6.625;7.125;7.017544;volume;month;7.02;0.0;35.0;20.0;11.0;6.63;24.0;59886.0;0;historical;5.5254529391317835;2.031432322493475;2.081632140565125;2.5649493574615367;-1.4935759876113537;-0.6512208895093387;-1.6787220398967388;0.25689905993235235;-0.298269996961929;32;1.797477373238721;1;1
